alpha_s,central_log10N_median_selected,central_log10N_min_selected,chi2_density,chi2_total,chi2_wp,chi2_xi0,chi2_xi2,f_sat_actual,f_sat_target,model,model_number_density_h3_mpc3,n_allowed_sat_candidates,n_cen_target,n_gal,n_sat,n_sat_target,observed_number_density_h3_mpc3,satellite_log10N_median_selected,satellite_power,sigma_logm,status,traceback
1.1,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,282.6077468481724,151.74552731191378,20.596781978107906,110.26543755815052,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,4.59847314801658,1.0,0.25,ok,
0.9,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,289.3515533438637,151.73952401812588,20.136168931380656,117.47586039435703,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,4.59847314801658,1.0,0.25,ok,
1.3,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,289.8865017946044,151.73921522000364,20.916620685793184,117.23066588880737,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,4.59847314801658,1.0,0.25,ok,
0.7,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,326.218297399946,151.72928620353431,19.444043890477104,155.0449673059344,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,4.59847314801658,1.0,0.25,ok,
1.1,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,411.03666900167894,356.80637414639494,44.22674457301097,10.00355028227286,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,4.596750995512816,1.0,0.25,ok,
0.9,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,413.0073315872059,356.8356195913072,43.4691674022949,12.702544593603617,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,4.596750995512816,1.0,0.25,ok,
1.3,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,414.41855594965034,356.78472221561356,44.65041060786593,12.983423126170702,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,4.596750995512816,1.0,0.25,ok,
1.1,3.6492374723496073,3.4122925093230463,1.7813602962219925e-13,423.3077034026024,52.485959037652876,9.274372210572622,361.5473721543767,0.019999943565423665,0.02,minimal_hod,0.000531589,800000.0,4167658.0,4252712,85054,85054.0,0.0005315890336544999,4.6012286078331766,1.0,0.25,ok,
1.3,3.6492374723496073,3.4122925093230463,1.7813602962219925e-13,426.18673274433723,52.48602359970516,9.447369221501598,364.2533399231303,0.019999943565423665,0.02,minimal_hod,0.000531589,800000.0,4167658.0,4252712,85054,85054.0,0.0005315890336544999,4.6012286078331766,1.0,0.25,ok,
0.7,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,428.4364002829844,356.80260038206353,42.17764847585873,29.456151425061982,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,4.596750995512816,1.0,0.25,ok,
0.9,3.6492374723496073,3.4122925093230463,1.7813602962219925e-13,430.78984135791757,52.48018869454904,9.054190407585812,369.25546225578256,0.019999943565423665,0.02,minimal_hod,0.000531589,800000.0,4167658.0,4252712,85054,85054.0,0.0005315890336544999,4.6012286078331766,1.0,0.25,ok,
0.5,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,433.6972754366071,151.7283143631526,18.52624813344246,263.44271294001186,0.03999988713084733,0.04,minimal_hod,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,4.59847314801658,1.0,0.25,ok,
0.7,3.6492374723496073,3.4122925093230463,1.7813602962219925e-13,460.3831277191796,52.48082215098968,8.771668471797936,399.1306370963918,0.019999943565423665,0.02,minimal_hod,0.000531589,800000.0,4167658.0,4252712,85054,85054.0,0.0005315890336544999,4.6012286078331766,1.0,0.25,ok,
0.5,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,505.0313536170053,356.79221116792286,40.14801027460502,108.09113217447728,0.06000006584033906,0.06,minimal_hod,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,4.596750995512816,1.0,0.25,ok,
0.5,3.6492374723496073,3.4122925093230463,1.7813602962219925e-13,533.7179981250782,52.48118748048155,8.484936396320535,472.7518742482759,0.019999943565423665,0.02,minimal_hod,0.000531589,800000.0,4167658.0,4252712,85054,85054.0,0.0005315890336544999,4.6012286078331766,1.0,0.25,ok,
0.5,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,854.649332652626,715.1813451183149,73.27632984504062,66.19165768927023,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,4.594503043820089,1.0,0.25,ok,
0.7,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,899.6570634302248,715.2568641832157,77.06116508681247,107.33903416019626,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,4.594503043820089,1.0,0.25,ok,
1.3,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,918.948901262294,715.2324859192057,80.77405149698198,122.94236384610613,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,4.594503043820089,1.0,0.25,ok,
0.9,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,936.4403529351816,715.3019402549353,79.1975253527288,141.94088732751726,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,4.594503043820089,1.0,0.25,ok,
1.1,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,936.4832217637625,715.2616385120989,80.30752791074187,140.91405534092144,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,4.594503043820089,1.0,0.25,ok,
0.5,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1615.738088904691,1298.4902540262153,119.50257984439206,197.7452550340833,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,4.592265606512769,1.0,0.25,ok,
0.7,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1902.9234297885134,1298.6169042861177,125.88657227855903,478.4199532238365,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,4.592265606512769,1.0,0.25,ok,
1.3,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1955.2706684193756,1298.7600028227787,131.20420143025729,525.3064641663393,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,4.592265606512769,1.0,0.25,ok,
1.1,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,2021.2872772883643,1298.7147262815245,130.74188746535822,591.8306635414814,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,4.592265606512769,1.0,0.25,ok,
