f_sat_target,alpha_s,n_gal,n_sat,f_sat_actual,model_number_density_h3_mpc3,observed_number_density_h3_mpc3,chi2_xi0,chi2_xi2,chi2_wp,chi2_density,chi2_cov,chi2_total_cov,chi2_total,status,traceback
0.02,0.7,4252712,85054,0.019999943565423665,0.000531589,0.0005315890336544999,15.170001411881145,142.77084052987712,214.41907276513908,1.7813602962219925e-13,nan,nan,372.35991470689754,ok,
0.02,0.9,4252712,85054,0.019999943565423665,0.000531589,0.0005315890336544999,15.584390440527448,148.22159787669509,214.41445659200062,1.7813602962219925e-13,nan,nan,378.2204449092233,ok,
0.02,1.1,4252712,85054,0.019999943565423665,0.000531589,0.0005315890336544999,15.865902519005253,169.15001504134952,214.39943809758617,1.7813602962219925e-13,nan,nan,399.4153556579411,ok,
0.02,0.5,4252712,85054,0.019999943565423665,0.000531589,0.0005315890336544999,14.446596437845503,177.3078371395148,214.434991990485,1.7813602962219925e-13,nan,nan,406.1894255678455,ok,
0.02,1.3,4252712,85054,0.019999943565423665,0.000531589,0.0005315890336544999,16.04153651635965,195.29340639532745,214.36421403002237,1.7813602962219925e-13,nan,nan,425.69915694170965,ok,
0.04,1.1,4252712,170108,0.03999988713084733,0.000531589,0.0005315890336544999,42.46515796681135,11.165517685576845,631.5632687278395,1.7813602962219925e-13,nan,nan,685.1939443802279,ok,
0.04,0.9,4252712,170108,0.03999988713084733,0.000531589,0.0005315890336544999,41.96866075188178,13.73857868661522,631.5446153185007,1.7813602962219925e-13,nan,nan,687.251854756998,ok,
0.04,1.3,4252712,170108,0.03999988713084733,0.000531589,0.0005315890336544999,42.634865280093045,16.49902094009638,631.498813187938,1.7813602962219925e-13,nan,nan,690.6326994081277,ok,
0.04,0.7,4252712,170108,0.03999988713084733,0.000531589,0.0005315890336544999,40.99240723397507,22.965553451380366,631.5217361675935,1.7813602962219925e-13,nan,nan,695.4796968529492,ok,
0.04,0.5,4252712,170108,0.03999988713084733,0.000531589,0.0005315890336544999,38.99177201242127,43.851609356994686,631.6209400397576,1.7813602962219925e-13,nan,nan,714.4643214091737,ok,
0.06,1.3,4252712,255163,0.06000006584033906,0.000531589,0.0005315890336544999,82.51914315836929,148.83639133908898,1242.2163126397159,1.7813602962219925e-13,nan,nan,1473.5718471371745,ok,
0.06,0.5,4252712,255163,0.06000006584033906,0.000531589,0.0005315890336544999,76.02584701354253,165.10330709834207,1242.4822254754147,1.7813602962219925e-13,nan,nan,1483.6113795872996,ok,
0.06,1.1,4252712,255163,0.06000006584033906,0.000531589,0.0005315890336544999,82.45795335894823,199.78881208205985,1242.3883378574849,1.7813602962219925e-13,nan,nan,1524.6351032984933,ok,
0.06,0.9,4252712,255163,0.06000006584033906,0.000531589,0.0005315890336544999,81.73490468031308,249.3770747079664,1242.300430895068,1.7813602962219925e-13,nan,nan,1573.4124102833478,ok,
0.06,0.7,4252712,255163,0.06000006584033906,0.000531589,0.0005315890336544999,79.97625241743026,261.0353870492409,1242.3758490277773,1.7813602962219925e-13,nan,nan,1583.3874884944487,ok,
0.08,0.5,4252712,340217,0.08000000940576273,0.000531589,0.0005315890336544999,123.10133822495581,483.97762414461226,2018.7850391218212,1.7813602962219925e-13,nan,nan,2625.8640014913894,ok,
0.08,1.3,4252712,340217,0.08000000940576273,0.000531589,0.0005315890336544999,133.69546985760675,589.947519585494,2018.8994556442565,1.7813602962219925e-13,nan,nan,2742.542445087357,ok,
0.08,1.1,4252712,340217,0.08000000940576273,0.000531589,0.0005315890336544999,133.72802036746916,725.033659555328,2019.0217639847506,1.7813602962219925e-13,nan,nan,2877.7834439075477,ok,
0.08,0.7,4252712,340217,0.08000000940576273,0.000531589,0.0005315890336544999,129.78500204336189,814.2495697770113,2018.6943322107788,1.7813602962219925e-13,nan,nan,2962.728904031152,ok,
0.08,0.9,4252712,340217,0.08000000940576273,0.000531589,0.0005315890336544999,132.66592255145224,834.7433727291718,2018.7144222312152,1.7813602962219925e-13,nan,nan,2986.1237175118395,ok,
0.1,0.5,4252712,425271,0.09999995297118638,0.000531589,0.0005315890336544999,178.26150488240472,973.9818877335454,2949.7849457944517,1.7813602962219925e-13,nan,nan,4102.028338410402,ok,
0.1,1.3,4252712,425271,0.09999995297118638,0.000531589,0.0005315890336544999,194.0079491207778,1335.8783034519095,2950.2673671986695,1.7813602962219925e-13,nan,nan,4480.153619771357,ok,
0.1,1.1,4252712,425271,0.09999995297118638,0.000531589,0.0005315890336544999,194.16460773381812,1579.9082185198743,2950.3414998585004,1.7813602962219925e-13,nan,nan,4724.414326112193,ok,
0.1,0.7,4252712,425271,0.09999995297118638,0.000531589,0.0005315890336544999,188.3951371746908,1660.912275793073,2949.809163111666,1.7813602962219925e-13,nan,nan,4799.116576079429,ok,
0.1,0.9,4252712,425271,0.09999995297118638,0.000531589,0.0005315890336544999,192.6803358301012,1753.6220342431395,2949.903402885972,1.7813602962219925e-13,nan,nan,4896.2057729592125,ok,
0.12,0.5,4252712,510325,0.11999989653661006,0.000531589,0.0005315890336544999,243.8265718563117,1586.2984143065705,4034.5250182027066,1.7813602962219925e-13,nan,nan,5864.650004365589,ok,
0.12,1.3,4252712,510325,0.11999989653661006,0.000531589,0.0005315890336544999,266.00382827483617,2380.9723513243757,4034.849837954686,1.7813602962219925e-13,nan,nan,6681.826017553898,ok,
0.12,1.1,4252712,510325,0.11999989653661006,0.000531589,0.0005315890336544999,266.29004954799547,2748.6604241658006,4034.9163507640387,1.7813602962219925e-13,nan,nan,7049.866824477835,ok,
0.12,0.7,4252712,510325,0.11999989653661006,0.000531589,0.0005315890336544999,258.1966395147983,2760.2298351178106,4034.3839674847295,1.7813602962219925e-13,nan,nan,7052.810442117338,ok,
0.12,0.9,4252712,510325,0.11999989653661006,0.000531589,0.0005315890336544999,264.2731996799222,2980.9508567518396,4034.408293754021,1.7813602962219925e-13,nan,nan,7279.632350185782,ok,
0.15,0.5,4252712,637907,0.15000004702881362,0.000531589,0.0005315890336544999,352.32167963414486,2757.1032588620305,5884.818412354848,1.7813602962219925e-13,nan,nan,8994.243350851024,ok,
