f_sat_target,alpha_s,n_gal,n_sat,f_sat_actual,model_number_density_h3_mpc3,observed_number_density_h3_mpc3,chi2_xi0,chi2_xi2,chi2_wp,chi2_density,chi2_cov,chi2_total_cov,chi2_total,status
0.02,1.0,66449,1329,0.020000300982708545,0.000531592,0.0005315890336544999,21.426875867165233,282.3284698585631,108.24578437597738,1.383905702489101e-09,863.83360182595,863.833601827334,412.0011301030896,ok
0.02,1.2,66449,1329,0.020000300982708545,0.000531592,0.0005315890336544999,21.271481772789752,298.0052639016608,108.26151445065894,1.383905702489101e-09,869.6212962682343,869.6212962696183,427.53826012649336,ok
0.02,0.8,66449,1329,0.020000300982708545,0.000531592,0.0005315890336544999,21.34255198070506,278.6825537619097,108.3827387169678,1.383905702489101e-09,870.1418800455355,870.1418800469194,408.40784446096643,ok
0.02,1.4,66449,1329,0.020000300982708545,0.000531592,0.0005315890336544999,21.320684782640072,327.87385984294974,108.23880101507956,1.383905702489101e-09,901.3217668970931,901.321766898477,457.43334564205327,ok
0.02,1.6,66449,1329,0.020000300982708545,0.000531592,0.0005315890336544999,21.21032661936878,342.79526937366506,108.4949955275676,1.383905702489101e-09,922.9016423411862,922.9016423425701,472.50059152198537,ok
0.02,0.6,66449,1329,0.020000300982708545,0.000531592,0.0005315890336544999,21.42408823403537,317.9211636764837,108.32415489897522,1.383905702489101e-09,942.1180838463126,942.1180838476965,447.6694068108782,ok
0.02,1.8,66449,1329,0.020000300982708545,0.000531592,0.0005315890336544999,21.10167672022039,358.340928848398,108.27143884341474,1.383905702489101e-09,948.6734737704049,948.6734737717888,487.714044413417,ok
0.04,1.0,66449,2658,0.04000060196541709,0.000531592,0.0005315890336544999,31.608783735131503,38.79716025313347,307.2174725071644,1.383905702489101e-09,1075.7981079616072,1075.798107962991,377.6234164968133,ok
0.04,1.2,66449,2658,0.04000060196541709,0.000531592,0.0005315890336544999,31.032681206303923,53.19580094431934,307.16080278135394,1.383905702489101e-09,1080.5399637786445,1080.5399637800283,391.3892849333611,ok
0.04,0.8,66449,2658,0.04000060196541709,0.000531592,0.0005315890336544999,31.90022774705389,37.11106969453994,307.3880089248093,1.383905702489101e-09,1089.5381749522649,1089.5381749536486,376.39930636778706,ok
0.04,1.4,66449,2658,0.04000060196541709,0.000531592,0.0005315890336544999,30.346282778117487,79.54302971094485,306.94047441816303,1.383905702489101e-09,1113.4829793067418,1113.4829793081256,416.82978690860926,ok
0.04,1.6,66449,2658,0.04000060196541709,0.000531592,0.0005315890336544999,29.781469764793993,104.32396943374856,307.4360271337328,1.383905702489101e-09,1152.9484374869837,1152.9484374883675,441.5414663336593,ok
0.04,0.6,66449,2658,0.04000060196541709,0.000531592,0.0005315890336544999,31.756122991049473,75.7362281248498,307.2458079129186,1.383905702489101e-09,1177.665244403583,1177.6652444049669,414.7381590302018,ok
0.04,1.8,66449,2658,0.04000060196541709,0.000531592,0.0005315890336544999,28.96637045972262,129.20157174573802,307.0037058946086,1.383905702489101e-09,1191.1014825222494,1191.1014825236332,465.1716481014531,ok
0.06,1.2,66449,3987,0.06000090294812563,0.000531592,0.0005315890336544999,54.03573029563664,24.341610102498144,593.5550423279848,1.383905702489101e-09,1791.7390805627033,1791.739080564087,671.9323827275035,ok
0.06,1.4,66449,3987,0.06000090294812563,0.000531592,0.0005315890336544999,53.10054760414734,21.53330324442115,593.1590172590918,1.383905702489101e-09,1799.4955393302341,1799.495539331618,667.7928681090442,ok
0.06,1.0,66449,3987,0.06000090294812563,0.000531592,0.0005315890336544999,54.871778536935224,34.96413978620503,593.2264685380204,1.383905702489101e-09,1815.2502963801667,1815.2502963815505,683.0623868625446,ok
0.06,1.6,66449,3987,0.06000090294812563,0.000531592,0.0005315890336544999,52.14995839483989,27.179305755118097,593.2591609818969,1.383905702489101e-09,1824.0122646207892,1824.012264622173,672.5884251332388,ok
0.06,1.8,66449,3987,0.06000090294812563,0.000531592,0.0005315890336544999,50.659207963454165,36.93897652159298,593.0810962327519,1.383905702489101e-09,1848.1958097275663,1848.19580972895,680.6792807191829,ok
0.06,0.8,66449,3987,0.06000090294812563,0.000531592,0.0005315890336544999,55.075709159376515,49.742752062953166,593.115819402284,1.383905702489101e-09,1860.1903188912356,1860.1903188926194,697.9342806259976,ok
0.06,0.6,66449,3987,0.06000090294812563,0.000531592,0.0005315890336544999,54.086034977805824,55.819915975570616,593.0685087685397,1.383905702489101e-09,1947.561781542174,1947.5617815435578,702.9744597233,ok
0.08,1.4,66449,5316,0.08000120393083418,0.000531592,0.0005315890336544999,72.79422660589451,160.1877087687829,916.0387690117235,1.383905702489101e-09,2758.9028664446905,2758.9028664460743,1149.0207043877847,ok
0.08,1.6,66449,5316,0.08000120393083418,0.000531592,0.0005315890336544999,71.57043457894568,132.652779401348,915.814082744309,1.383905702489101e-09,2769.096504963054,2769.096504964438,1120.0372967259864,ok
0.08,1.2,66449,5316,0.08000120393083418,0.000531592,0.0005315890336544999,73.89847137090675,203.58532603064663,915.9869828279656,1.383905702489101e-09,2772.2335404860737,2772.2335404874575,1193.4707802309026,ok
0.08,1.8,66449,5316,0.08000120393083418,0.000531592,0.0005315890336544999,69.7091349662349,111.55522505250944,915.8794889703165,1.383905702489101e-09,2775.4461343146104,2775.446134315994,1097.1438489904447,ok
0.08,1.0,66449,5316,0.08000120393083418,0.000531592,0.0005315890336544999,74.90833714207476,244.68973761788953,915.1655465037812,1.383905702489101e-09,2804.8050856616137,2804.8050856629975,1234.7636212651294,ok
0.08,0.8,66449,5316,0.08000120393083418,0.000531592,0.0005315890336544999,75.02483756068263,257.31383118482097,914.9140103049048,1.383905702489101e-09,2839.739830264728,2839.7398302661118,1247.2526790517923,ok
0.08,0.6,66449,5316,0.08000120393083418,0.000531592,0.0005315890336544999,73.42816674680897,177.23764639209554,914.869076743029,1.383905702489101e-09,2859.8796288323524,2859.879628833736,1165.5348898833174,ok
0.1,1.8,66449,6645,0.10000150491354272,0.000531592,0.0005315890336544999,84.52486414755889,336.8355780553231,1335.5752697991668,1.383905702489101e-09,4112.522157704669,4112.522157706053,1756.9357120034326,ok
0.1,1.6,66449,6645,0.10000150491354272,0.000531592,0.0005315890336544999,87.68104580711744,398.48353515619914,1336.021610595116,1.383905702489101e-09,4136.426218244313,4136.426218245697,1822.1861915598165,ok
0.1,1.4,66449,6645,0.10000150491354272,0.000531592,0.0005315890336544999,89.84230649768878,470.4996712428528,1336.9482916721963,1.383905702489101e-09,4156.769113595877,4156.769113597261,1897.2902694141217,ok
0.1,0.6,66449,6645,0.10000150491354272,0.000531592,0.0005315890336544999,91.41755032272184,417.4443160525265,1334.1075864015595,1.383905702489101e-09,4189.8068109218175,4189.806810923202,1842.9694527781917,ok
0.1,1.2,66449,6645,0.10000150491354272,0.000531592,0.0005315890336544999,91.88759482356048,573.5345895958163,1336.0688597366368,1.383905702489101e-09,4206.825848010471,4206.825848011856,2001.4910441573975,ok
0.1,1.0,66449,6645,0.10000150491354272,0.000531592,0.0005315890336544999,93.55497254541487,638.4176313664127,1334.6673229569515,1.383905702489101e-09,4247.882587403816,4247.8825874052,2066.639926870163,ok
0.1,0.8,66449,6645,0.10000150491354272,0.000531592,0.0005315890336544999,93.942137854482,636.0570279519129,1334.3190809762168,1.383905702489101e-09,4272.3873125461105,4272.387312547495,2064.3182467839956,ok
0.12,1.8,66449,7974,0.12000180589625126,0.000531592,0.0005315890336544999,107.61568836631567,685.1457832595548,1753.4343207179727,1.383905702489101e-09,5555.3977427918135,5555.397742793198,2546.195792345227,ok
0.12,0.6,66449,7974,0.12000180589625126,0.000531592,0.0005315890336544999,115.07955566812917,745.9344922208312,1752.2704480352772,1.383905702489101e-09,5604.07460656725,5604.074606568634,2613.2844959256213,ok
0.12,1.6,66449,7974,0.12000180589625126,0.000531592,0.0005315890336544999,111.56254007475924,801.3623834464464,1754.489427629675,1.383905702489101e-09,5622.498733504402,5622.498733505786,2667.4143511522643,ok
0.12,1.4,66449,7974,0.12000180589625126,0.000531592,0.0005315890336544999,114.2714713729823,923.3286535297465,1755.6884533217824,1.383905702489101e-09,5676.658991095021,5676.658991096405,2793.288578225895,ok
0.12,1.2,66449,7974,0.12000180589625126,0.000531592,0.0005315890336544999,116.93829261580402,1089.0535040724872,1754.8117616815236,1.383905702489101e-09,5771.4974371403005,5771.497437141685,2960.8035583711985,ok
0.12,0.8,66449,7974,0.12000180589625126,0.000531592,0.0005315890336544999,119.06690067337715,1137.90540030987,1752.6647655852746,1.383905702489101e-09,5811.089379694388,5811.089379695773,3009.6370665699055,ok
0.12,1.0,66449,7974,0.12000180589625126,0.000531592,0.0005315890336544999,118.86691716941301,1177.5133455080531,1753.3305503170327,1.383905702489101e-09,5818.399880824147,5818.399880825531,3049.710812995883,ok
