model_id,component,n_bins,f_sat_target,alpha_s,f_sat_actual,rms_fractional_residual,mean_abs_fractional_residual,chi2_diag_jk_raw,rms_pull_jk,selected_for_paper,selection_reason,diagcov_chi2_total,diagcov_chi2_cov,diagcov_chi2_total_cov,diagcov_chi2_xi0,diagcov_chi2_xi2,diagcov_chi2_wp,diagcov_rank,fullcov_chi2_total,fullcov_chi2_cov,fullcov_chi2_total_cov,fullcov_chi2_xi0,fullcov_chi2_xi2,fullcov_chi2_wp,fullcov_rank
abacusL500_fsat0p000_alphaS0p600,all,72,0.0,0.6,0.0,1.1470864720438179,0.34383250332971854,5566.477741914237,8.792735118262119,0,,826.562862729002,1289.079056022244,1289.0790560236278,27.00947538563762,784.3829095675811,15.170477774399316,17,826.562862729002,1112.616696058762,1112.6166960601458,27.00947538563762,784.3829095675811,15.170477774399316,13
abacusL500_fsat0p000_alphaS0p600,wp,16,0.0,0.6,0.0,0.09852926709369056,0.0684065871517154,181.73380218430339,3.370217001399014,0,,826.562862729002,1289.079056022244,1289.0790560236278,27.00947538563762,784.3829095675811,15.170477774399316,17,826.562862729002,1112.616696058762,1112.6166960601458,27.00947538563762,784.3829095675811,15.170477774399316,13
abacusL500_fsat0p000_alphaS0p600,xi0,28,0.0,0.6,0.0,0.23925149608023097,0.16002581983638264,1548.2681705169305,7.436080405978414,0,,826.562862729002,1289.079056022244,1289.0790560236278,27.00947538563762,784.3829095675811,15.170477774399316,17,826.562862729002,1112.616696058762,1112.6166960601458,27.00947538563762,784.3829095675811,15.170477774399316,13
abacusL500_fsat0p000_alphaS0p600,xi2,28,0.0,0.6,0.0,1.8222831724317046,0.6850254246390562,3836.475769213002,11.705425740126124,0,,826.562862729002,1289.079056022244,1289.0790560236278,27.00947538563762,784.3829095675811,15.170477774399316,17,826.562862729002,1112.616696058762,1112.6166960601458,27.00947538563762,784.3829095675811,15.170477774399316,13
abacusL500_fsat0p000_alphaS0p800,all,72,0.0,0.8,0.0,1.1470864720438179,0.34383250332971854,5566.477741914237,8.792735118262119,0,,826.562862729002,1289.079056022244,1289.0790560236278,27.00947538563762,784.3829095675811,15.170477774399316,18,826.562862729002,1112.616696058762,1112.6166960601458,27.00947538563762,784.3829095675811,15.170477774399316,14
abacusL500_fsat0p000_alphaS0p800,wp,16,0.0,0.8,0.0,0.09852926709369056,0.0684065871517154,181.73380218430339,3.370217001399014,0,,826.562862729002,1289.079056022244,1289.0790560236278,27.00947538563762,784.3829095675811,15.170477774399316,18,826.562862729002,1112.616696058762,1112.6166960601458,27.00947538563762,784.3829095675811,15.170477774399316,14
abacusL500_fsat0p000_alphaS0p800,xi0,28,0.0,0.8,0.0,0.23925149608023097,0.16002581983638264,1548.2681705169305,7.436080405978414,0,,826.562862729002,1289.079056022244,1289.0790560236278,27.00947538563762,784.3829095675811,15.170477774399316,18,826.562862729002,1112.616696058762,1112.6166960601458,27.00947538563762,784.3829095675811,15.170477774399316,14
abacusL500_fsat0p000_alphaS0p800,xi2,28,0.0,0.8,0.0,1.8222831724317046,0.6850254246390562,3836.475769213002,11.705425740126124,0,,826.562862729002,1289.079056022244,1289.0790560236278,27.00947538563762,784.3829095675811,15.170477774399316,18,826.562862729002,1112.616696058762,1112.6166960601458,27.00947538563762,784.3829095675811,15.170477774399316,14
abacusL500_fsat0p000_alphaS1p000,all,72,0.0,1.0,0.0,1.1470864720438179,0.34383250332971854,5566.477741914237,8.792735118262119,0,,826.562862729002,1289.079056022244,1289.0790560236278,27.00947538563762,784.3829095675811,15.170477774399316,19,826.562862729002,1112.616696058762,1112.6166960601458,27.00947538563762,784.3829095675811,15.170477774399316,15
abacusL500_fsat0p000_alphaS1p000,wp,16,0.0,1.0,0.0,0.09852926709369056,0.0684065871517154,181.73380218430339,3.370217001399014,0,,826.562862729002,1289.079056022244,1289.0790560236278,27.00947538563762,784.3829095675811,15.170477774399316,19,826.562862729002,1112.616696058762,1112.6166960601458,27.00947538563762,784.3829095675811,15.170477774399316,15
