index,component,statistic,ell,r,model_value
0,wp,wp,-1,0.5761356451482574,293.10568664656194
1,wp,wp,-1,0.7440818690302262,230.0005293757028
2,wp,wp,-1,0.9610170497889371,162.02247366354615
3,wp,wp,-1,1.2415081573690936,120.83832965772666
4,wp,wp,-1,1.6037983331351233,94.46775229866718
5,wp,wp,-1,2.0714477629787083,79.27383256625076
6,wp,wp,-1,2.6753529170231105,65.68432936088263
7,wp,wp,-1,3.4552810127626836,54.60748875372605
8,wp,wp,-1,4.462678487403257,45.46481314569407
9,wp,wp,-1,5.763705166875068,35.359990717780015
10,wp,wp,-1,7.444209778763199,29.30140910176076
11,wp,wp,-1,9.614254566531134,22.513052106757954
12,wp,wp,-1,12.416991298325703,16.76899837064827
13,wp,wp,-1,16.03613754282894,12.43840565582878
14,wp,wp,-1,20.710355722655805,8.618336270753462
15,wp,wp,-1,26.747045170628947,5.768569187755013
16,xi0,xi,0,5.12893551095799,2.3159076589151804
17,xi0,xi,0,7.0926598262423175,1.8231505124301335
18,xi0,xi,0,9.071987614253018,1.1737933207847098
19,xi0,xi,0,11.058870735916955,0.8065046581683627
20,xi0,xi,0,13.049734911079584,0.5895413240528875
21,xi0,xi,0,15.042904687805345,0.44275371488370197
22,xi0,xi,0,17.03780085357808,0.3424401475634646
23,xi0,xi,0,19.033667808465324,0.2751245113590661
24,xi0,xi,0,21.03037630419934,0.2209241302617117
25,xi0,xi,0,23.02766068469553,0.17620481838063945
26,xi0,xi,0,25.025364151653893,0.14771935228367222
27,xi0,xi,0,27.023466169403456,0.12367960023719883
28,xi0,xi,0,29.021712950323614,0.10547498695587032
29,xi0,xi,0,31.02022550732897,0.09162163528413371
30,xi0,xi,0,33.01895795649731,0.07434178618787815
31,xi0,xi,0,35.01782041255468,0.06339517817690878
32,xi0,xi,0,37.01678068081689,0.0534129517399251
33,xi0,xi,0,39.015897648740854,0.045153609666413096
34,xi0,xi,0,41.0150764997134,0.03657183321176111
35,xi0,xi,0,43.01435207730657,0.02974856997175886
36,xi0,xi,0,45.013717374563356,0.02460409060253113
37,xi0,xi,0,47.01306629374365,0.01770824724934722
38,xi0,xi,0,49.012464825600574,0.012898641566365637
39,xi0,xi,0,51.01196018043999,0.009645700372638809
40,xi0,xi,0,53.01147261081704,0.010367773886566884
41,xi0,xi,0,55.01102142125616,0.008512018502269451
42,xi0,xi,0,57.010554451772435,0.005130082958776606
43,xi0,xi,0,59.01018095383947,0.005528444965332764
44,xi2,xi,2,5.12893551095799,-0.013462771323712305
45,xi2,xi,2,7.0926598262423175,-0.16770322344833993
46,xi2,xi,2,9.071987614253018,-0.27114501648003597
47,xi2,xi,2,11.058870735916955,-0.2513363759684381
48,xi2,xi,2,13.049734911079584,-0.24286616770498504
49,xi2,xi,2,15.042904687805345,-0.22081121556406555
50,xi2,xi,2,17.03780085357808,-0.173127329616379
51,xi2,xi,2,19.033667808465324,-0.1373470185911332
52,xi2,xi,2,21.03037630419934,-0.12037426324169913
53,xi2,xi,2,23.02766068469553,-0.10620618872235904
54,xi2,xi,2,25.025364151653893,-0.08512111326335167
55,xi2,xi,2,27.023466169403456,-0.0689329430221665
56,xi2,xi,2,29.021712950323614,-0.06319148175627579
57,xi2,xi,2,31.02022550732897,-0.06275612542159895
58,xi2,xi,2,33.01895795649731,-0.053733306515727546
59,xi2,xi,2,35.01782041255468,-0.0473671768494333
60,xi2,xi,2,37.01678068081689,-0.041452496458702054
61,xi2,xi,2,39.015897648740854,-0.04589176894221996
62,xi2,xi,2,41.0150764997134,-0.04553918822661189
63,xi2,xi,2,43.01435207730657,-0.048085026085471216
64,xi2,xi,2,45.013717374563356,-0.04463680787317503
65,xi2,xi,2,47.01306629374365,-0.040184360636586
66,xi2,xi,2,49.012464825600574,-0.03351793143918661
67,xi2,xi,2,51.01196018043999,-0.02455306989892853
68,xi2,xi,2,53.01147261081704,-0.02115962653153094
69,xi2,xi,2,55.01102142125616,-0.019955177558681654
70,xi2,xi,2,57.010554451772435,-0.015619048352801462
71,xi2,xi,2,59.01018095383947,-0.014460043961174188
