f_sat_target,alpha_s,n_gal,n_sat,f_sat_actual,model_number_density_h3_mpc3,observed_number_density_h3_mpc3,chi2_xi0,chi2_xi2,chi2_wp,chi2_density,chi2_cov,chi2_total_cov,chi2_total,status
0.08,1.2,115,9,0.0782608695652174,0.0005324074074074074,0.0005315890336544999,325149.90483092377,3772.904217045898,43337.40464890373,0.00010517213207915903,nan,nan,372260.2138020455,ok
0.08,1.4,115,9,0.0782608695652174,0.0005324074074074074,0.0005315890336544999,325105.2492907771,4165.250950335916,43337.40464890373,0.00010517213207915903,nan,nan,372607.9049951889,ok
0.08,1.0,115,9,0.0782608695652174,0.0005324074074074074,0.0005315890336544999,325227.4273284329,4550.972941719854,43337.40464890373,0.00010517213207915903,nan,nan,373115.8050242286,ok
0.08,0.8,115,9,0.0782608695652174,0.0005324074074074074,0.0005315890336544999,325498.9128633692,5822.241539330525,43337.40464890373,0.00010517213207915903,nan,nan,374658.55915677553,ok
0.12,1.4,115,14,0.12173913043478261,0.0005324074074074074,0.0005315890336544999,327648.2192475333,5427.960368149452,43152.21478434438,0.00010517213207915903,nan,nan,376228.3945051992,ok
0.12,1.2,115,14,0.12173913043478261,0.0005324074074074074,0.0005315890336544999,327845.51505553845,5628.327123824043,43152.21478434438,0.00010517213207915903,nan,nan,376626.05706887896,ok
0.08,0.6,115,9,0.0782608695652174,0.0005324074074074074,0.0005315890336544999,325830.8831842605,8333.692924725878,43337.40464890373,0.00010517213207915903,nan,nan,377501.98086306226,ok
0.12,1.0,115,14,0.12173913043478261,0.0005324074074074074,0.0005315890336544999,328138.47775626637,8800.795541648944,43152.21478434438,0.00010517213207915903,nan,nan,380091.48818743177,ok
0.16,1.4,115,18,0.1565217391304348,0.0005324074074074074,0.0005315890336544999,329199.4691107975,7692.9835956748,43816.89457579531,0.00010517213207915903,nan,nan,380709.34738743975,ok
0.16,1.2,115,18,0.1565217391304348,0.0005324074074074074,0.0005315890336544999,329357.8581291628,8777.56227464011,43816.89457579531,0.00010517213207915903,nan,nan,381952.3150847704,ok
0.16,1.0,115,18,0.1565217391304348,0.0005324074074074074,0.0005315890336544999,329544.03793300764,13336.602227542002,43816.89457579531,0.00010517213207915903,nan,nan,386697.5348415171,ok
0.2,1.4,115,23,0.2,0.0005324074074074074,0.0005315890336544999,331758.66561469226,11001.14485530965,44355.590503677726,0.00010517213207915903,nan,nan,387115.4010788517,ok
0.12,0.8,115,14,0.12173913043478261,0.0005324074074074074,0.0005315890336544999,328508.26824354596,15903.801587119266,43152.21478434438,0.00010517213207915903,nan,nan,387564.2847201817,ok
0.2,1.2,115,23,0.2,0.0005324074074074074,0.0005315890336544999,331921.1546058215,14668.553165601303,44355.590503677726,0.00010517213207915903,nan,nan,390945.2983802726,ok
0.12,0.6,115,14,0.12173913043478261,0.0005324074074074074,0.0005315890336544999,328956.3141528195,19803.96580087779,43152.21478434438,0.00010517213207915903,nan,nan,391912.49484321376,ok
0.16,0.8,115,18,0.1565217391304348,0.0005324074074074074,0.0005315890336544999,329879.80262648186,20457.484571671568,43816.89457579531,0.00010517213207915903,nan,nan,394154.1818791209,ok
0.24,1.4,115,28,0.24347826086956523,0.0005324074074074074,0.0005315890336544999,332186.2291931575,19046.974290995975,46320.00005464318,0.00010517213207915903,nan,nan,397553.2036439688,ok
0.16,0.6,115,18,0.1565217391304348,0.0005324074074074074,0.0005315890336544999,330153.9483370842,24782.11669754723,43816.89457579531,0.00010517213207915903,nan,nan,398752.95971559884,ok
0.2,1.0,115,23,0.2,0.0005324074074074074,0.0005315890336544999,332182.794968582,22409.151443232622,44355.590503677726,0.00010517213207915903,nan,nan,398947.53702066443,ok
0.24,1.2,115,28,0.24347826086956523,0.0005324074074074074,0.0005315890336544999,332301.38742568943,23759.16477750855,46320.00005464318,0.00010517213207915903,nan,nan,402380.55236301327,ok
0.2,0.8,115,23,0.2,0.0005324074074074074,0.0005315890336544999,332412.52774703084,29127.925013795724,44355.590503677726,0.00010517213207915903,nan,nan,405896.0433696764,ok
0.2,0.6,115,23,0.2,0.0005324074074074074,0.0005315890336544999,332544.7422939731,31250.823571905486,44355.590503677726,0.00010517213207915903,nan,nan,408151.1564747284,ok
0.24,1.0,115,28,0.24347826086956523,0.0005324074074074074,0.0005315890336544999,332527.0262828401,37145.7668793655,46320.00005464318,0.00010517213207915903,nan,nan,415992.7933220209,ok
0.24,0.8,115,28,0.24347826086956523,0.0005324074074074074,0.0005315890336544999,332851.06432238716,47452.437970681065,46320.00005464318,0.00010517213207915903,nan,nan,426623.5024528835,ok
0.24,0.6,115,28,0.24347826086956523,0.0005324074074074074,0.0005315890336544999,333142.1263619008,54889.01460583776,46320.00005464318,0.00010517213207915903,nan,nan,434351.1411275539,ok
