index,component,statistic,ell,r,model_value
0,wp,wp,-1,0.5761356451482574,
1,wp,wp,-1,0.7440818690302262,
2,wp,wp,-1,0.9610170497889371,
3,wp,wp,-1,1.2415081573690936,
4,wp,wp,-1,1.6037983331351233,
5,wp,wp,-1,2.0714477629787083,
6,wp,wp,-1,2.6753529170231105,
7,wp,wp,-1,3.4552810127626836,
8,wp,wp,-1,4.462678487403257,
9,wp,wp,-1,5.763705166875068,
10,wp,wp,-1,7.444209778763199,
11,wp,wp,-1,9.614254566531134,
12,wp,wp,-1,12.416991298325703,
13,wp,wp,-1,16.03613754282894,
14,wp,wp,-1,20.710355722655805,
15,wp,wp,-1,26.747045170628947,
16,xi0,xi,0,5.12893551095799,
17,xi0,xi,0,7.0926598262423175,
18,xi0,xi,0,9.071987614253018,
19,xi0,xi,0,11.058870735916955,
20,xi0,xi,0,13.049734911079584,
21,xi0,xi,0,15.042904687805345,
22,xi0,xi,0,17.03780085357808,
23,xi0,xi,0,19.033667808465324,
24,xi0,xi,0,21.03037630419934,
25,xi0,xi,0,23.02766068469553,
26,xi0,xi,0,25.025364151653893,
27,xi0,xi,0,27.023466169403456,
28,xi0,xi,0,29.021712950323614,
29,xi0,xi,0,31.02022550732897,
30,xi0,xi,0,33.01895795649731,
31,xi0,xi,0,35.01782041255468,
32,xi0,xi,0,37.01678068081689,
33,xi0,xi,0,39.015897648740854,
34,xi0,xi,0,41.0150764997134,
35,xi0,xi,0,43.01435207730657,
36,xi0,xi,0,45.013717374563356,
37,xi0,xi,0,47.01306629374365,
38,xi0,xi,0,49.012464825600574,
39,xi0,xi,0,51.01196018043999,
40,xi0,xi,0,53.01147261081704,
41,xi0,xi,0,55.01102142125616,
42,xi0,xi,0,57.010554451772435,
43,xi0,xi,0,59.01018095383947,
44,xi2,xi,2,5.12893551095799,
45,xi2,xi,2,7.0926598262423175,
46,xi2,xi,2,9.071987614253018,
47,xi2,xi,2,11.058870735916955,
48,xi2,xi,2,13.049734911079584,
49,xi2,xi,2,15.042904687805345,
50,xi2,xi,2,17.03780085357808,
51,xi2,xi,2,19.033667808465324,
52,xi2,xi,2,21.03037630419934,
53,xi2,xi,2,23.02766068469553,
54,xi2,xi,2,25.025364151653893,
55,xi2,xi,2,27.023466169403456,
56,xi2,xi,2,29.021712950323614,
57,xi2,xi,2,31.02022550732897,
58,xi2,xi,2,33.01895795649731,
59,xi2,xi,2,35.01782041255468,
60,xi2,xi,2,37.01678068081689,
61,xi2,xi,2,39.015897648740854,
62,xi2,xi,2,41.0150764997134,
63,xi2,xi,2,43.01435207730657,
64,xi2,xi,2,45.013717374563356,
65,xi2,xi,2,47.01306629374365,
66,xi2,xi,2,49.012464825600574,
67,xi2,xi,2,51.01196018043999,
68,xi2,xi,2,53.01147261081704,
69,xi2,xi,2,55.01102142125616,
70,xi2,xi,2,57.010554451772435,
71,xi2,xi,2,59.01018095383947,
