index,component,statistic,ell,r,model_value
0,wp,wp,-1,0.5761380748597364,
1,wp,wp,-1,0.744084356412962,
2,wp,wp,-1,0.9610218107009021,
3,wp,wp,-1,1.2415110650149705,
4,wp,wp,-1,1.6037997438428309,
5,wp,wp,-1,2.0714481398044096,
6,wp,wp,-1,2.675355303308508,
7,wp,wp,-1,3.45528374334156,
8,wp,wp,-1,4.4626806289241525,
9,wp,wp,-1,5.763708002051188,
10,wp,wp,-1,7.4442143206189,
11,wp,wp,-1,9.6142649159752,
12,wp,wp,-1,12.417004600870605,
13,wp,wp,-1,16.0361589058619,
14,wp,wp,-1,20.710391500026574,
15,wp,wp,-1,26.74709656474586,
16,xi0,xi,0,5.128946822702991,
17,xi0,xi,0,7.092667241215974,
18,xi0,xi,0,9.071996769429846,
19,xi0,xi,0,11.058876439522068,
20,xi0,xi,0,13.04973778470207,
21,xi0,xi,0,15.04290901312095,
22,xi0,xi,0,17.037804661302534,
23,xi0,xi,0,19.033671739792496,
24,xi0,xi,0,21.03037967709092,
25,xi0,xi,0,23.027665254843587,
26,xi0,xi,0,25.02536816211634,
27,xi0,xi,0,27.02346951147147,
28,xi0,xi,0,29.021716183966586,
29,xi0,xi,0,31.020229716711647,
30,xi0,xi,0,33.01896228822472,
31,xi0,xi,0,35.01782391175744,
32,xi0,xi,0,37.01678381954456,
33,xi0,xi,0,39.015901009606495,
34,xi0,xi,0,41.015078923580845,
35,xi0,xi,0,43.01435414767602,
36,xi0,xi,0,45.01371954484693,
37,xi0,xi,0,47.01306919646765,
38,xi0,xi,0,49.01246688704525,
39,xi0,xi,0,51.01196274226404,
40,xi0,xi,0,53.01147526480951,
41,xi0,xi,0,55.01102341902605,
42,xi0,xi,0,57.01055697640956,
43,xi0,xi,0,59.01018318308766,
44,xi2,xi,2,5.128946822702991,
45,xi2,xi,2,7.092667241215974,
46,xi2,xi,2,9.071996769429846,
47,xi2,xi,2,11.058876439522068,
48,xi2,xi,2,13.04973778470207,
49,xi2,xi,2,15.04290901312095,
50,xi2,xi,2,17.037804661302534,
51,xi2,xi,2,19.033671739792496,
52,xi2,xi,2,21.03037967709092,
53,xi2,xi,2,23.027665254843587,
54,xi2,xi,2,25.02536816211634,
55,xi2,xi,2,27.02346951147147,
56,xi2,xi,2,29.021716183966586,
57,xi2,xi,2,31.020229716711647,
58,xi2,xi,2,33.01896228822472,
59,xi2,xi,2,35.01782391175744,
60,xi2,xi,2,37.01678381954456,
61,xi2,xi,2,39.015901009606495,
62,xi2,xi,2,41.015078923580845,
63,xi2,xi,2,43.01435414767602,
64,xi2,xi,2,45.01371954484693,
65,xi2,xi,2,47.01306919646765,
66,xi2,xi,2,49.01246688704525,
67,xi2,xi,2,51.01196274226404,
68,xi2,xi,2,53.01147526480951,
69,xi2,xi,2,55.01102341902605,
70,xi2,xi,2,57.01055697640956,
71,xi2,xi,2,59.01018318308766,
