index,component,statistic,ell,r,model_value
0,wp,wp,-1,0.57616422375581,
1,wp,wp,-1,0.7441262230209819,
2,wp,wp,-1,0.9609643899987611,
3,wp,wp,-1,1.2416165717471386,
4,wp,wp,-1,1.6039036008523841,
5,wp,wp,-1,2.0716430713367613,
6,wp,wp,-1,2.6754643014691952,
7,wp,wp,-1,3.4552861399326487,
8,wp,wp,-1,4.462726628599993,
9,wp,wp,-1,5.763619133176913,
10,wp,wp,-1,7.444201047317778,
11,wp,wp,-1,9.61415336767134,
12,wp,wp,-1,12.41694714860765,
13,wp,wp,-1,16.03602134637627,
14,wp,wp,-1,20.710076833187475,
15,wp,wp,-1,26.746755312801252,
16,xi0,xi,0,5.129043409897412,
17,xi0,xi,0,7.093060728044583,
18,xi0,xi,0,9.072091439971128,
19,xi0,xi,0,11.05849029535588,
20,xi0,xi,0,13.05011853351124,
21,xi0,xi,0,15.042984283595679,
22,xi0,xi,0,17.037867359852108,
23,xi0,xi,0,19.033583288588048,
24,xi0,xi,0,21.03032133519134,
25,xi0,xi,0,23.027534489615668,
26,xi0,xi,0,25.025376097667348,
27,xi0,xi,0,27.023338837587648,
28,xi0,xi,0,29.021671050218778,
29,xi0,xi,0,31.02023775359863,
30,xi0,xi,0,33.01892103937208,
31,xi0,xi,0,35.01787729649076,
32,xi0,xi,0,37.016749124113616,
33,xi0,xi,0,39.01586708227935,
34,xi0,xi,0,41.01503130033704,
35,xi0,xi,0,43.01437967996983,
36,xi0,xi,0,45.01365891485018,
37,xi0,xi,0,47.01300865261435,
38,xi0,xi,0,49.01245465621073,
39,xi0,xi,0,51.011837641557364,
40,xi0,xi,0,53.01156074574238,
41,xi0,xi,0,55.01095115332805,
42,xi0,xi,0,57.01063994476294,
43,xi0,xi,0,59.01018634275413,
44,xi2,xi,2,5.129043409897412,
45,xi2,xi,2,7.093060728044583,
46,xi2,xi,2,9.072091439971128,
47,xi2,xi,2,11.05849029535588,
48,xi2,xi,2,13.05011853351124,
49,xi2,xi,2,15.042984283595679,
50,xi2,xi,2,17.037867359852108,
51,xi2,xi,2,19.033583288588048,
52,xi2,xi,2,21.03032133519134,
53,xi2,xi,2,23.027534489615668,
54,xi2,xi,2,25.025376097667348,
55,xi2,xi,2,27.023338837587648,
56,xi2,xi,2,29.021671050218778,
57,xi2,xi,2,31.02023775359863,
58,xi2,xi,2,33.01892103937208,
59,xi2,xi,2,35.01787729649076,
60,xi2,xi,2,37.016749124113616,
61,xi2,xi,2,39.01586708227935,
62,xi2,xi,2,41.01503130033704,
63,xi2,xi,2,43.01437967996983,
64,xi2,xi,2,45.01365891485018,
65,xi2,xi,2,47.01300865261435,
66,xi2,xi,2,49.01245465621073,
67,xi2,xi,2,51.011837641557364,
68,xi2,xi,2,53.01156074574238,
69,xi2,xi,2,55.01095115332805,
70,xi2,xi,2,57.01063994476294,
71,xi2,xi,2,59.01018634275413,
