s_Mpch,xi0,xi2,xi4
3.210338147097017369e+00,5.698971464671469533e+00,3.770144820994021817e+00,5.370683303884346671e+00
5.128427768341911275e+00,2.820964618820549497e+00,9.176745983739317269e-01,1.786203665109309835e+00
7.092150249410074991e+00,1.648864890993401389e+00,1.066310381500394644e-01,6.900466890537499953e-01
9.072081828949206894e+00,1.074699802816363015e+00,-1.237693922647684908e-01,3.163612747353464760e-01
1.105859663466309861e+01,7.511093633056602492e-01,-1.850502304361344441e-01,1.638365440423773245e-01
1.304937329640705812e+01,5.494468012772241172e-01,-1.815121557750613568e-01,9.483677644501756210e-02
1.504290202980213031e+01,4.149368177558216964e-01,-1.727473481253209986e-01,6.068645985418567868e-02
1.703740013040732748e+01,3.214839535865630649e-01,-1.523777175545867890e-01,3.663504985804010017e-02
1.903321263082931125e+01,2.540438075809919871e-01,-1.387059666776289113e-01,2.313123216693166451e-02
2.102998706542743079e+01,2.048814009004771286e-01,-1.243385734005514748e-01,1.882694351907855668e-02
2.302732496929306905e+01,1.676735602320242324e-01,-1.077894317705141158e-01,1.240418514749213816e-02
2.502510378289057513e+01,1.380638512207290058e-01,-9.485809441463156910e-02,6.763555192263105698e-03
2.702312769764246170e+01,1.142974336085647996e-01,-8.302508160041666141e-02,6.971661409769755111e-03
2.902155600937231128e+01,9.641437087645968185e-02,-7.413529980997146662e-02,-1.669532385531796639e-04
3.102004273149267277e+01,8.074653377349919059e-02,-6.631937541047150386e-02,2.776973836488962587e-03
3.301880455895812361e+01,6.700637789475481776e-02,-5.973441919959161794e-02,-1.947016061901440118e-03
3.501763271661907595e+01,5.725213996631831753e-02,-5.415919559557805241e-02,-6.443392045941472458e-04
3.701666408889447268e+01,4.906675804186599876e-02,-4.953205907369166716e-02,1.018755477171349403e-03
3.901571203300067481e+01,4.216981410333197483e-02,-4.446794566216621947e-02,-8.505320031212883648e-05
4.101499803647190134e+01,3.638744960898269987e-02,-4.142339073009494027e-02,2.943574853157969635e-03
4.301431170381671620e+01,3.047216622083549764e-02,-3.875925744932543632e-02,6.547571185246204087e-04
4.501363596843875570e+01,2.673421513987304585e-02,-3.584834528797943565e-02,3.087136914943622475e-03
4.701293093113568489e+01,2.321337572479410111e-02,-3.254837141720487437e-02,2.693078616457349368e-03
4.901238566139333130e+01,1.961200330495679531e-02,-3.083566193585759313e-02,3.455593560114454676e-03
5.101186392807987602e+01,1.707315387479040394e-02,-2.968750986581595794e-02,5.205982466901310640e-03
5.301138479193968323e+01,1.557080880273490134e-02,-2.854933667293682586e-02,4.761710160428485328e-03
5.501099757793137712e+01,1.295542447484314061e-02,-2.756781612062522008e-02,4.392864146321754856e-03
5.701054661436256765e+01,1.098471387081454732e-02,-2.366896086521563455e-02,4.773657672273013894e-03
5.901018884179036661e+01,9.615856691902818776e-03,-2.227329412705171541e-02,5.085297836672351968e-03
