# DESI DR1 LRG pycorr multipoles
# s_Mpch,xi0,xi2,xi4
# mode = smu
# autocorr = True
# D1D2.size1 = 1404715
# D1D2.size2 = 1404715
# D1R2.size1 = 1404715
# D1R2.size2 = 6405134
# R1D2.size1 = 6405134
# R1D2.size2 = 1404715
# R1R2.size1 = 6405134
# R1R2.size2 = 6405134
# los_type = midpoint
# bin_type = lin
# smid             savg               corr0(s)           corr2(s)            corr4(s)
3.000000000000e+00 3.210338147097e+00 5.698971464671e+00 3.770144820994e+00  5.370683303884e+00
5.000000000000e+00 5.128427768342e+00 2.820964618821e+00 9.176745983739e-01  1.786203665109e+00
7.000000000000e+00 7.092150249410e+00 1.648864890993e+00 1.066310381500e-01  6.900466890537e-01
9.000000000000e+00 9.072081828949e+00 1.074699802816e+00 -1.237693922648e-01 3.163612747353e-01
1.100000000000e+01 1.105859663466e+01 7.511093633057e-01 -1.850502304361e-01 1.638365440424e-01
1.300000000000e+01 1.304937329641e+01 5.494468012772e-01 -1.815121557751e-01 9.483677644502e-02
1.500000000000e+01 1.504290202980e+01 4.149368177558e-01 -1.727473481253e-01 6.068645985419e-02
1.700000000000e+01 1.703740013041e+01 3.214839535866e-01 -1.523777175546e-01 3.663504985804e-02
1.900000000000e+01 1.903321263083e+01 2.540438075810e-01 -1.387059666776e-01 2.313123216693e-02
2.100000000000e+01 2.102998706543e+01 2.048814009005e-01 -1.243385734006e-01 1.882694351908e-02
2.300000000000e+01 2.302732496929e+01 1.676735602320e-01 -1.077894317705e-01 1.240418514749e-02
2.500000000000e+01 2.502510378289e+01 1.380638512207e-01 -9.485809441463e-02 6.763555192263e-03
2.700000000000e+01 2.702312769764e+01 1.142974336086e-01 -8.302508160042e-02 6.971661409770e-03
2.900000000000e+01 2.902155600937e+01 9.641437087646e-02 -7.413529980997e-02 -1.669532385532e-04
3.100000000000e+01 3.102004273149e+01 8.074653377350e-02 -6.631937541047e-02 2.776973836489e-03
3.300000000000e+01 3.301880455896e+01 6.700637789475e-02 -5.973441919959e-02 -1.947016061901e-03
3.500000000000e+01 3.501763271662e+01 5.725213996632e-02 -5.415919559558e-02 -6.443392045941e-04
3.700000000000e+01 3.701666408889e+01 4.906675804187e-02 -4.953205907369e-02 1.018755477171e-03
3.900000000000e+01 3.901571203300e+01 4.216981410333e-02 -4.446794566217e-02 -8.505320031213e-05
4.100000000000e+01 4.101499803647e+01 3.638744960898e-02 -4.142339073009e-02 2.943574853158e-03
4.300000000000e+01 4.301431170382e+01 3.047216622084e-02 -3.875925744933e-02 6.547571185246e-04
4.500000000000e+01 4.501363596844e+01 2.673421513987e-02 -3.584834528798e-02 3.087136914944e-03
4.700000000000e+01 4.701293093114e+01 2.321337572479e-02 -3.254837141720e-02 2.693078616457e-03
4.900000000000e+01 4.901238566139e+01 1.961200330496e-02 -3.083566193586e-02 3.455593560114e-03
5.100000000000e+01 5.101186392808e+01 1.707315387479e-02 -2.968750986582e-02 5.205982466901e-03
5.300000000000e+01 5.301138479194e+01 1.557080880273e-02 -2.854933667294e-02 4.761710160428e-03
5.500000000000e+01 5.501099757793e+01 1.295542447484e-02 -2.756781612063e-02 4.392864146322e-03
5.700000000000e+01 5.701054661436e+01 1.098471387081e-02 -2.366896086522e-02 4.773657672273e-03
5.900000000000e+01 5.901018884179e+01 9.615856691903e-03 -2.227329412705e-02 5.085297836672e-03
