rp_Mpch,wp
3.455339047048793244e-01,4.428898282053123694e+02
4.461825663162855560e-01,3.196748300729474295e+02
5.762278993977151265e-01,2.344733138142998428e+02
7.443125512200017280e-01,1.746929057634639548e+02
9.612287038428324326e-01,1.318434497259830778e+02
1.241561010059458736e+00,1.030951950051187680e+02
1.603740863361563074e+00,8.498566420821867951e+01
2.071435731892928622e+00,7.179527780827156391e+01
2.675133531546505239e+00,5.960014372397104410e+01
3.455097844522384776e+00,5.006235973016502783e+01
4.462506050493459497e+00,4.049292035413836288e+01
5.763408625900945381e+00,3.317466312848087284e+01
7.443835372389454363e+00,2.636173193583663021e+01
9.613536084842150942e+00,2.059123909158957133e+01
1.241587123480367261e+01,1.578821804941860307e+01
1.603451782628818378e+01,1.170021971133749261e+01
2.070815886469525324e+01,8.352729337085099459e+00
2.674419663013442516e+01,5.564090472800341303e+00
