# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 1404715
# D1D2.size2 = 1404715
# D1R2.size1 = 1404715
# D1R2.size2 = 6405134
# R1D2.size1 = 6405134
# R1D2.size2 = 1404715
# R1R2.size1 = 6405134
# R1R2.size2 = 6405134
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.455339047049e-01 4.428898282053e+02
4.439475303322e-01 4.461825663163e-01 3.196748300729e+02
5.733802840848e-01 5.762278993977e-01 2.344733138143e+02
7.405491138359e-01 7.443125512200e-01 1.746929057635e+02
9.564559599018e-01 9.612287038428e-01 1.318434497260e+02
1.235310374613e+00 1.241561010059e+00 1.030951950051e+02
1.595464700520e+00 1.603740863362e+00 8.498566420822e+01
2.060621899500e+00 2.071435731893e+00 7.179527780827e+01
2.661395524022e+00 2.675133531547e+00 5.960014372397e+01
3.437324497522e+00 3.455097844522e+00 5.006235973017e+01
4.439475303322e+00 4.462506050493e+00 4.049292035414e+01
5.733802840848e+00 5.763408625901e+00 3.317466312848e+01
7.405491138359e+00 7.443835372389e+00 2.636173193584e+01
9.564559599018e+00 9.613536084842e+00 2.059123909159e+01
1.235310374613e+01 1.241587123480e+01 1.578821804942e+01
1.595464700520e+01 1.603451782629e+01 1.170021971134e+01
2.060621899500e+01 2.070815886470e+01 8.352729337085e+00
2.661395524022e+01 2.674419663013e+01 5.564090472800e+00
