s_Mpch,xi0,xi2,xi4
3.209805060975781998e+00,5.408009354544771163e+00,2.383332632034870002e+00,2.789720639234173127e+00
5.129019532736026399e+00,2.832555515914293220e+00,6.879410449000402661e-01,1.204834045278389443e+00
7.093112294556122244e+00,1.682015016149685849e+00,5.944071496195004606e-02,5.254876445943492680e-01
9.072124102756104591e+00,1.095363767357149687e+00,-1.320296511052102273e-01,2.499393609875936173e-01
1.105852214904392916e+01,7.628393124309287288e-01,-1.972127749895725701e-01,1.407539119713928644e-01
1.305011723112374433e+01,5.605621805931184642e-01,-1.873005089953242719e-01,7.569989822402128921e-02
1.504299109031826198e+01,4.239609035726263353e-01,-1.850817770145940233e-01,6.665924698764374989e-02
1.703784910239167871e+01,3.300161683004771973e-01,-1.574767063805643796e-01,4.049167038598928958e-02
1.903359010068338009e+01,2.664263276259155599e-01,-1.424348829787264736e-01,2.059374751762479971e-02
2.103034886601960096e+01,2.130834714986605816e-01,-1.281101136888294911e-01,2.232272109930893630e-02
2.302755310428661062e+01,1.757918268161115516e-01,-1.080215255400285151e-01,8.328535986533963653e-03
2.502540651073491773e+01,1.425099193920352780e-01,-9.600777649132159752e-02,1.410812113102286915e-02
2.702336710318741808e+01,1.214889844614107373e-01,-8.204105956858648296e-02,7.411312452510960755e-03
2.902170142536820308e+01,1.003001949229705564e-01,-7.664431286827999568e-02,1.064654172065085738e-02
3.102025907775197666e+01,8.670932553392357578e-02,-6.939136199283296724e-02,1.335863778695041935e-02
3.301893600248499183e+01,7.363220187082311630e-02,-6.643071746465628591e-02,8.709167131220833108e-03
3.501791769657613429e+01,6.145838607820741650e-02,-6.232497147803925386e-02,9.263381387996148450e-03
3.701675751418576965e+01,5.360004433002188429e-02,-5.321943179732066542e-02,1.279557781618782027e-03
3.901589121163386409e+01,4.683310616079328081e-02,-4.970461270429071821e-02,8.772486911473979104e-03
4.101505841521867524e+01,3.854898000197945485e-02,-5.083011352788673054e-02,6.355014872407992177e-03
4.301441420648392722e+01,3.308112315543933202e-02,-4.474677216914380029e-02,6.416647206312306798e-03
4.501368174066844574e+01,2.990826965451028052e-02,-4.275140812801062062e-02,2.660542061261684209e-03
4.701302160494746119e+01,2.597619399969201825e-02,-3.679385236121804348e-02,2.053642812127666820e-03
4.901247870244694838e+01,2.245709810431411463e-02,-3.234713049367170246e-02,1.492385840397943229e-03
5.101183813260547595e+01,1.957666594572509550e-02,-2.926564286065852505e-02,1.428716735818214749e-03
5.301159707128138621e+01,1.738062942139923309e-02,-2.760874308615473421e-02,-5.507161431778864616e-04
5.501095942300238306e+01,1.625953762835561506e-02,-2.452714180963916357e-02,-2.144015804906447250e-04
5.701064787781329812e+01,1.463263380708911335e-02,-2.366473892253665584e-02,-7.995929059126949141e-04
5.901020205643614958e+01,1.285564355318928945e-02,-2.004917768068013167e-02,2.709147829990124663e-03
