# DESI DR1 LRG pycorr multipoles
# s_Mpch,xi0,xi2,xi4
# mode = smu
# autocorr = True
# D1D2.size1 = 771894
# D1D2.size2 = 771894
# D1R2.size1 = 771894
# D1R2.size2 = 5180104
# R1D2.size1 = 5180104
# R1D2.size2 = 771894
# R1R2.size1 = 5180104
# R1R2.size2 = 5180104
# los_type = midpoint
# bin_type = lin
# smid             savg               corr0(s)           corr2(s)            corr4(s)
3.000000000000e+00 3.209805060976e+00 5.408009354545e+00 2.383332632035e+00  2.789720639234e+00
5.000000000000e+00 5.129019532736e+00 2.832555515914e+00 6.879410449000e-01  1.204834045278e+00
7.000000000000e+00 7.093112294556e+00 1.682015016150e+00 5.944071496195e-02  5.254876445943e-01
9.000000000000e+00 9.072124102756e+00 1.095363767357e+00 -1.320296511052e-01 2.499393609876e-01
1.100000000000e+01 1.105852214904e+01 7.628393124309e-01 -1.972127749896e-01 1.407539119714e-01
1.300000000000e+01 1.305011723112e+01 5.605621805931e-01 -1.873005089953e-01 7.569989822402e-02
1.500000000000e+01 1.504299109032e+01 4.239609035726e-01 -1.850817770146e-01 6.665924698764e-02
1.700000000000e+01 1.703784910239e+01 3.300161683005e-01 -1.574767063806e-01 4.049167038599e-02
1.900000000000e+01 1.903359010068e+01 2.664263276259e-01 -1.424348829787e-01 2.059374751762e-02
2.100000000000e+01 2.103034886602e+01 2.130834714987e-01 -1.281101136888e-01 2.232272109931e-02
2.300000000000e+01 2.302755310429e+01 1.757918268161e-01 -1.080215255400e-01 8.328535986534e-03
2.500000000000e+01 2.502540651073e+01 1.425099193920e-01 -9.600777649132e-02 1.410812113102e-02
2.700000000000e+01 2.702336710319e+01 1.214889844614e-01 -8.204105956859e-02 7.411312452511e-03
2.900000000000e+01 2.902170142537e+01 1.003001949230e-01 -7.664431286828e-02 1.064654172065e-02
3.100000000000e+01 3.102025907775e+01 8.670932553392e-02 -6.939136199283e-02 1.335863778695e-02
3.300000000000e+01 3.301893600248e+01 7.363220187082e-02 -6.643071746466e-02 8.709167131221e-03
3.500000000000e+01 3.501791769658e+01 6.145838607821e-02 -6.232497147804e-02 9.263381387996e-03
3.700000000000e+01 3.701675751419e+01 5.360004433002e-02 -5.321943179732e-02 1.279557781619e-03
3.900000000000e+01 3.901589121163e+01 4.683310616079e-02 -4.970461270429e-02 8.772486911474e-03
4.100000000000e+01 4.101505841522e+01 3.854898000198e-02 -5.083011352789e-02 6.355014872408e-03
4.300000000000e+01 4.301441420648e+01 3.308112315544e-02 -4.474677216914e-02 6.416647206312e-03
4.500000000000e+01 4.501368174067e+01 2.990826965451e-02 -4.275140812801e-02 2.660542061262e-03
4.700000000000e+01 4.701302160495e+01 2.597619399969e-02 -3.679385236122e-02 2.053642812128e-03
4.900000000000e+01 4.901247870245e+01 2.245709810431e-02 -3.234713049367e-02 1.492385840398e-03
5.100000000000e+01 5.101183813261e+01 1.957666594573e-02 -2.926564286066e-02 1.428716735818e-03
5.300000000000e+01 5.301159707128e+01 1.738062942140e-02 -2.760874308615e-02 -5.507161431779e-04
5.500000000000e+01 5.501095942300e+01 1.625953762836e-02 -2.452714180964e-02 -2.144015804906e-04
5.700000000000e+01 5.701064787781e+01 1.463263380709e-02 -2.366473892254e-02 -7.995929059127e-04
5.900000000000e+01 5.901020205644e+01 1.285564355319e-02 -2.004917768068e-02 2.709147829990e-03
