rp_Mpch,wp
3.453302555840144783e-01,2.400710691949199145e+02
4.460514253573519272e-01,2.010100911807427906e+02
5.761731164050553078e-01,1.498432453603652448e+02
7.441463427141208342e-01,1.209621915223725921e+02
9.609979048253969314e-01,1.149648123146622254e+02
1.241627148456925900e+00,1.033696841955290751e+02
1.603933056233987076e+00,9.127908396150971271e+01
2.071618929005852650e+00,7.396452192685153193e+01
2.675478033750365192e+00,6.338348292395448880e+01
3.455309888553719233e+00,5.125448667789220991e+01
4.462723758493006621e+00,4.246303724057665363e+01
5.763615226932017777e+00,3.473817232667531130e+01
7.444215198582626591e+00,2.783326505609371182e+01
9.614198590262489574e+00,2.180718161105927777e+01
1.241698947359191685e+01,1.665213514135906081e+01
1.603611553404737222e+01,1.259679157175255071e+01
2.071021223973151493e+01,8.849099454879148396e+00
2.674701440724387069e+01,5.949662072361197929e+00
