# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 771894
# D1D2.size2 = 771894
# D1R2.size1 = 771894
# D1R2.size2 = 5180104
# R1D2.size1 = 5180104
# R1D2.size2 = 771894
# R1R2.size1 = 5180104
# R1R2.size2 = 5180104
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.453302555840e-01 2.400710691949e+02
4.439475303322e-01 4.460514253574e-01 2.010100911807e+02
5.733802840848e-01 5.761731164051e-01 1.498432453604e+02
7.405491138359e-01 7.441463427141e-01 1.209621915224e+02
9.564559599018e-01 9.609979048254e-01 1.149648123147e+02
1.235310374613e+00 1.241627148457e+00 1.033696841955e+02
1.595464700520e+00 1.603933056234e+00 9.127908396151e+01
2.060621899500e+00 2.071618929006e+00 7.396452192685e+01
2.661395524022e+00 2.675478033750e+00 6.338348292395e+01
3.437324497522e+00 3.455309888554e+00 5.125448667789e+01
4.439475303322e+00 4.462723758493e+00 4.246303724058e+01
5.733802840848e+00 5.763615226932e+00 3.473817232668e+01
7.405491138359e+00 7.444215198583e+00 2.783326505609e+01
9.564559599018e+00 9.614198590262e+00 2.180718161106e+01
1.235310374613e+01 1.241698947359e+01 1.665213514136e+01
1.595464700520e+01 1.603611553405e+01 1.259679157175e+01
2.060621899500e+01 2.071021223973e+01 8.849099454879e+00
2.661395524022e+01 2.674701440724e+01 5.949662072361e+00
