s_Mpch,xi0,xi2,xi4
3.213997256509527833e+00,6.243320785337498791e+00,2.655541197602005354e+00,2.925866353668942210e+00
5.128206382566116162e+00,2.988484470376268298e+00,4.683025352486236415e-01,1.259578791417829802e+00
7.079989497553304645e+00,1.742454568338573484e+00,2.006344455251829473e-01,5.638212063943762731e-01
9.069363777798420401e+00,1.051213263358815375e+00,-1.695559538616537576e-01,3.195325865571655433e-01
1.106482228854588534e+01,8.193628539267098221e-01,-3.187288416754486819e-01,-5.904417810367260100e-02
1.304951064629461754e+01,5.728516142165177571e-01,-2.004986852400345576e-01,7.225877460381482931e-02
1.504361301035583409e+01,4.507933400579058336e-01,-1.632144191928297239e-01,1.166484196630171027e-01
1.703702387608443303e+01,3.590499363278398803e-01,-1.050969331461177186e-01,-3.471451062349689698e-02
1.903233623080586412e+01,2.774612441141673935e-01,-1.663363642394506681e-01,-4.896567727756574728e-02
2.102986129943788640e+01,2.524676684886048017e-01,-1.382038382733825621e-01,-8.483661284952185092e-03
2.302680861782101118e+01,2.114187745758357995e-01,-1.544052981227877763e-01,5.589463944824663716e-02
2.502592741988993197e+01,1.826643189349121399e-01,-9.931035486972980553e-02,-3.146421765739950555e-03
2.702409536007612800e+01,1.495920025300051526e-01,-8.306160628096190268e-02,2.382033401832926722e-02
2.902174487080124976e+01,1.178950654347563354e-01,-1.164871028168429079e-01,-1.576612277202082621e-02
3.101893046659195363e+01,9.982149668297254919e-02,-9.564274548324708247e-02,8.170630355666674838e-03
3.302061208769875122e+01,9.309407703790907596e-02,-8.877177004334758925e-02,4.708684865887442783e-04
3.501802379897986128e+01,7.825248816360975967e-02,-5.287092449545985340e-02,8.491831213809572509e-03
3.701495015306053915e+01,6.920706376930571557e-02,-2.634005057370988889e-02,-2.289344706452722464e-02
3.901510742699985457e+01,6.419213787766356316e-02,-7.455600496091623064e-02,3.790887820760147076e-03
4.101754286163839680e+01,4.316605574897840192e-02,-3.405622714016146718e-02,1.416406184220249907e-02
4.301443328785579467e+01,3.800331829006730472e-02,-1.042713620710437189e-02,2.048250028822826141e-02
4.501195077934587374e+01,3.836935936588307949e-02,-3.790945251112618625e-02,6.028894632622072702e-03
4.701346156725653458e+01,3.897501030631171648e-02,-4.453526857060821631e-02,3.077947679947772019e-02
4.901295701570312957e+01,2.672594992593302701e-02,-2.406472988008136887e-02,-5.955762259021075283e-03
5.101173074438220567e+01,4.058045509778983317e-02,-1.941528478188248204e-03,-2.331944466383811115e-02
5.301109075279892124e+01,3.979142109378831782e-02,-3.059169058373867323e-02,-1.597663334462205709e-02
5.500961573665384208e+01,2.756045362562819373e-02,-6.460407300436990519e-02,1.523033842651295468e-02
5.701094438172714263e+01,3.038633234780991829e-02,-2.135279530318807614e-02,-1.301741999593468598e-02
5.901025790881287492e+01,2.151280692638535968e-02,-3.052344416662263610e-02,-4.844315742068103225e-03
