# DESI DR1 LRG pycorr multipoles
# s_Mpch,xi0,xi2,xi4
# mode = smu
# autocorr = True
# D1D2.size1 = 80000
# D1D2.size2 = 80000
# D1R2.size1 = 80000
# D1R2.size2 = 320000
# R1D2.size1 = 320000
# R1D2.size2 = 80000
# R1R2.size1 = 320000
# R1R2.size2 = 320000
# los_type = midpoint
# bin_type = lin
# smid             savg               corr0(s)           corr2(s)            corr4(s)            std0(s)            std2(s)            std4(s)
3.000000000000e+00 3.213997256510e+00 6.243320785337e+00 2.655541197602e+00  2.925866353669e+00  2.376698268805e-01 4.521580771205e-01 5.771627979500e-01
5.000000000000e+00 5.128206382566e+00 2.988484470376e+00 4.683025352486e-01  1.259578791418e+00  5.660806132119e-02 3.932097399949e-01 2.598224916536e-01
7.000000000000e+00 7.079989497553e+00 1.742454568339e+00 2.006344455252e-01  5.638212063944e-01  7.083696806198e-02 1.255332376281e-01 1.839057116841e-01
9.000000000000e+00 9.069363777798e+00 1.051213263359e+00 -1.695559538617e-01 3.195325865572e-01  4.654322900385e-02 2.991772065941e-02 1.702855703586e-01
1.100000000000e+01 1.106482228855e+01 8.193628539267e-01 -3.187288416754e-01 -5.904417810367e-02 3.098050965021e-02 8.346473460724e-02 2.108832654808e-01
1.300000000000e+01 1.304951064629e+01 5.728516142165e-01 -2.004986852400e-01 7.225877460381e-02  4.734031866546e-02 5.515811306757e-02 1.704075899495e-01
1.500000000000e+01 1.504361301036e+01 4.507933400579e-01 -1.632144191928e-01 1.166484196630e-01  3.979805560020e-02 1.032521424559e-02 1.561314902184e-01
1.700000000000e+01 1.703702387608e+01 3.590499363278e-01 -1.050969331461e-01 -3.471451062350e-02 9.266269273758e-03 2.635873618408e-02 2.704220748235e-02
1.900000000000e+01 1.903233623081e+01 2.774612441142e-01 -1.663363642395e-01 -4.896567727757e-02 1.031986412551e-02 1.223949561108e-02 1.001808979179e-02
2.100000000000e+01 2.102986129944e+01 2.524676684886e-01 -1.382038382734e-01 -8.483661284952e-03 2.611516734837e-02 1.500186905795e-02 3.516396675852e-02
2.300000000000e+01 2.302680861782e+01 2.114187745758e-01 -1.544052981228e-01 5.589463944825e-02  1.347597803824e-02 3.629647269661e-02 2.308089183095e-02
2.500000000000e+01 2.502592741989e+01 1.826643189349e-01 -9.931035486973e-02 -3.146421765740e-03 2.034903065365e-03 3.346527992357e-02 4.414987191196e-02
2.700000000000e+01 2.702409536008e+01 1.495920025300e-01 -8.306160628096e-02 2.382033401833e-02  1.053641396610e-02 3.452325818931e-02 2.965140380454e-02
2.900000000000e+01 2.902174487080e+01 1.178950654348e-01 -1.164871028168e-01 -1.576612277202e-02 1.000405049579e-02 2.107701093545e-02 4.280365925057e-02
3.100000000000e+01 3.101893046659e+01 9.982149668297e-02 -9.564274548325e-02 8.170630355667e-03  1.461772129196e-02 1.448616784802e-02 2.112885531666e-02
3.300000000000e+01 3.302061208770e+01 9.309407703791e-02 -8.877177004335e-02 4.708684865887e-04  3.871356922529e-03 8.502695852274e-03 2.021545398238e-02
3.500000000000e+01 3.501802379898e+01 7.825248816361e-02 -5.287092449546e-02 8.491831213810e-03  1.849736137051e-03 1.743768776550e-02 5.449952084291e-02
3.700000000000e+01 3.701495015306e+01 6.920706376931e-02 -2.634005057371e-02 -2.289344706453e-02 2.217234331782e-02 1.483424532984e-02 2.048879853195e-02
3.900000000000e+01 3.901510742700e+01 6.419213787766e-02 -7.455600496092e-02 3.790887820760e-03  1.440477073576e-02 5.592829818276e-03 3.698475675672e-02
4.100000000000e+01 4.101754286164e+01 4.316605574898e-02 -3.405622714016e-02 1.416406184220e-02  1.008068339025e-02 1.914871992951e-02 3.628463076886e-02
4.300000000000e+01 4.301443328786e+01 3.800331829007e-02 -1.042713620710e-02 2.048250028823e-02  2.992420009789e-03 5.047857788254e-02 5.396861182218e-03
4.500000000000e+01 4.501195077935e+01 3.836935936588e-02 -3.790945251113e-02 6.028894632622e-03  3.563089759687e-03 2.210256325822e-02 2.241286407688e-02
4.700000000000e+01 4.701346156726e+01 3.897501030631e-02 -4.453526857061e-02 3.077947679948e-02  3.284191673432e-03 3.304351723684e-02 1.989274936463e-02
4.900000000000e+01 4.901295701570e+01 2.672594992593e-02 -2.406472988008e-02 -5.955762259021e-03 1.150030936294e-02 1.110246534876e-02 2.018193574143e-02
5.100000000000e+01 5.101173074438e+01 4.058045509779e-02 -1.941528478188e-03 -2.331944466384e-02 8.911996324658e-03 3.840010021368e-03 4.744999030513e-02
5.300000000000e+01 5.301109075280e+01 3.979142109379e-02 -3.059169058374e-02 -1.597663334462e-02 8.382375177226e-03 1.338474818555e-02 1.375859547689e-02
5.500000000000e+01 5.500961573665e+01 2.756045362563e-02 -6.460407300437e-02 1.523033842651e-02  1.011454677689e-02 2.376861645260e-02 2.963692452958e-02
5.700000000000e+01 5.701094438173e+01 3.038633234781e-02 -2.135279530319e-02 -1.301741999593e-02 1.045654467687e-02 8.833163289345e-03 2.776883483130e-02
5.900000000000e+01 5.901025790881e+01 2.151280692639e-02 -3.052344416662e-02 -4.844315742068e-03 6.138929330258e-03 2.101273414710e-03 1.381905985159e-02
