rp_Mpch,wp
3.449922983193564052e-01,2.172369160457842554e+02
4.471186785415995346e-01,9.634304736410689429e+01
5.753484514840770947e-01,8.437394114914863508e+01
7.449556753588850722e-01,9.126010991497277303e+01
9.628008224791168024e-01,1.032254391709574435e+02
1.242410948673438487e+00,1.032689029546180848e+02
1.602329092730845783e+00,1.108656944929294070e+02
2.071762570306339590e+00,7.945235011188137264e+01
2.675923926886837556e+00,6.465312366072765826e+01
3.456195808002135106e+00,5.548185863304093601e+01
4.465446250215842738e+00,4.244823464065240159e+01
5.763860893365895244e+00,3.603649624334322255e+01
7.444422735843388317e+00,3.228770806709134433e+01
9.612391387884381189e+00,2.421746894152602181e+01
1.241834872458842831e+01,1.849928234109569303e+01
1.603321731692428287e+01,1.545859260815164049e+01
2.071092160248911540e+01,1.252030470273761509e+01
2.674434574880028848e+01,8.665613641869011730e+00
