# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 80000
# D1D2.size2 = 80000
# D1R2.size1 = 80000
# D1R2.size2 = 320000
# R1D2.size1 = 320000
# R1D2.size2 = 80000
# R1R2.size1 = 320000
# R1R2.size2 = 320000
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)           std(rp)
3.437324497522e-01 3.449922983194e-01 2.172369160458e+02 4.207667037071e+02
4.439475303322e-01 4.471186785416e-01 9.634304736411e+01 nan
5.733802840848e-01 5.753484514841e-01 8.437394114915e+01 1.185703131826e+02
7.405491138359e-01 7.449556753589e-01 9.126010991497e+01 1.458287355414e+01
9.564559599018e-01 9.628008224791e-01 1.032254391710e+02 1.319456806698e+01
1.235310374613e+00 1.242410948673e+00 1.032689029546e+02 1.665554357835e+01
1.595464700520e+00 1.602329092731e+00 1.108656944929e+02 2.197642682935e+01
2.060621899500e+00 2.071762570306e+00 7.945235011188e+01 1.252612608344e+01
2.661395524022e+00 2.675923926887e+00 6.465312366073e+01 9.273940652772e-01
3.437324497522e+00 3.456195808002e+00 5.548185863304e+01 1.319633605143e+01
4.439475303322e+00 4.465446250216e+00 4.244823464065e+01 2.853910111073e+00
5.733802840848e+00 5.763860893366e+00 3.603649624334e+01 7.098362480197e+00
7.405491138359e+00 7.444422735843e+00 3.228770806709e+01 2.720588667719e+00
9.564559599018e+00 9.612391387884e+00 2.421746894153e+01 4.933501711847e+00
1.235310374613e+01 1.241834872459e+01 1.849928234110e+01 6.349573797918e-01
1.595464700520e+01 1.603321731692e+01 1.545859260815e+01 1.257847968180e+00
2.060621899500e+01 2.071092160249e+01 1.252030470274e+01 8.251465913578e-01
2.661395524022e+01 2.674434574880e+01 8.665613641869e+00 6.341345520378e-01
