rp_Mpch,wp
3.454334413280968352e-01,2.408192277037313715e+02
4.461685937860286888e-01,2.028344209913293810e+02
5.761336220399738695e-01,1.495172199218013134e+02
7.440820662137047625e-01,1.206101667846353109e+02
9.610173927367445801e-01,1.141164858552639600e+02
1.241506277125770330e+00,1.030223889122857202e+02
1.603795904253897620e+00,9.091884194093253768e+01
2.071446083159902862e+00,7.378429111827757936e+01
2.675347541527106632e+00,6.340271726118785978e+01
3.455278340237903034e+00,5.103947609707459776e+01
4.462672356737368062e+00,4.216524346315332394e+01
5.763699623834254382e+00,3.460221196297828783e+01
7.444202009152368404e+00,2.760993684049448760e+01
9.614242913419275283e+00,2.164878192583036309e+01
1.241696497296652346e+01,1.648818789846013289e+01
1.603609775122690451e+01,1.241190615010091136e+01
2.071029597970959557e+01,8.729824290643657392e+00
2.674695695006384000e+01,5.874157470988452090e+00
