s_Mpch,xi0,xi2,xi4
3.209974620669354017e+00,5.406884706172345290e+00,2.396111160404791107e+00,2.792743856669938296e+00
5.128946133794753059e+00,2.834223976438424053e+00,6.852346656079907339e-01,1.189061943170489855e+00
7.092630341435606667e+00,1.681825547361691209e+00,6.384716637145182450e-02,5.221958106533465260e-01
9.071981139218605605e+00,1.097173920867463792e+00,-1.302831046702733198e-01,2.523821371326880891e-01
1.105885212000160500e+01,7.627196965866603895e-01,-1.927156322923428700e-01,1.422457868515848434e-01
1.304971618647116571e+01,5.598027816404047563e-01,-1.871806643389417601e-01,7.603349955775690061e-02
1.504289195567220894e+01,4.242866254801984649e-01,-1.819919244605319175e-01,6.036516485098906981e-02
1.703778858290085907e+01,3.301028920985235038e-01,-1.562107313876801296e-01,3.922577266409480595e-02
1.903365668947929734e+01,2.665547764021437005e-01,-1.387792842568981444e-01,2.117156102820507910e-02
2.103037046110969754e+01,2.124168222557284991e-01,-1.251576284224061031e-01,1.972577255418769132e-02
2.302765210286058206e+01,1.747837477708223952e-01,-1.060770788936438724e-01,7.487424820587300703e-03
2.502536194579119311e+01,1.430464901353281082e-01,-9.481869852653734831e-02,1.278056047644405245e-02
2.702345365739826377e+01,1.210458543529816106e-01,-8.304978057670456271e-02,6.260099055207695058e-03
2.902170450848013417e+01,9.986972235495068795e-02,-7.697513953274302823e-02,7.831984615710267661e-03
3.102022091707609164e+01,8.549495751641608687e-02,-6.910780564156733530e-02,1.148470518207733021e-02
3.301894897653482985e+01,7.358425122862770340e-02,-6.789187757022616121e-02,6.568068866850672663e-03
3.501780955167101439e+01,6.156541491394531412e-02,-6.120615370806697930e-02,8.426142248499765217e-03
3.701677160325630922e+01,5.351089333903810696e-02,-5.236665812737076320e-02,-8.903433796035636807e-04
3.901588747870790286e+01,4.655701783435076818e-02,-5.112699120148309767e-02,7.659317399994320340e-03
4.101506843862548379e+01,3.824451469901218870e-02,-5.114732732670897175e-02,5.229758440234077640e-03
4.301434653378522199e+01,3.337419571052866601e-02,-4.554991048768902706e-02,4.623409930830222128e-03
4.501371069837664152e+01,2.921369752216516208e-02,-4.368492277105488764e-02,2.836492767861158691e-03
4.701305904769017729e+01,2.523967662880385182e-02,-3.691301353953721498e-02,9.029796134694461837e-04
4.901245590405358143e+01,2.218975220295516665e-02,-3.404350281765854136e-02,-5.638040710988892522e-04
5.101195631052749491e+01,1.978162623989032642e-02,-3.046631175232773076e-02,2.378554359657852337e-04
5.301146589844326940e+01,1.724613669710683278e-02,-2.981953943236128474e-02,3.433845003335375852e-05
5.501101545261244041e+01,1.631430241804754377e-02,-2.661601888450037395e-02,-2.887709394364851344e-04
5.701054801076816858e+01,1.460345624372267823e-02,-2.542683267210028158e-02,-1.110675482381089704e-03
5.901017309159590241e+01,1.302262199608666612e-02,-2.135356249990811445e-02,1.280121250643008902e-03
