# DESI DR1 LRG pycorr multipoles
# s_Mpch,xi0,xi2,xi4
# mode = smu
# autocorr = True
# D1D2.size1 = 765211
# D1D2.size2 = 765211
# D1R2.size1 = 765211
# D1R2.size2 = 20561635
# R1D2.size1 = 20561635
# R1D2.size2 = 765211
# R1R2.size1 = 20561635
# R1R2.size2 = 20561635
# los_type = midpoint
# bin_type = lin
# smid             savg               corr0(s)           corr2(s)            corr4(s)
3.000000000000e+00 3.209989206276e+00 5.408375414132e+00 2.390744796588e+00  2.800210481190e+00
5.000000000000e+00 5.128925033976e+00 2.833161579189e+00 6.803973472321e-01  1.197926973160e+00
7.000000000000e+00 7.092628041887e+00 1.680000189423e+00 6.116140209435e-02  5.261616896248e-01
9.000000000000e+00 9.071959987019e+00 1.095955020386e+00 -1.309854255093e-01 2.559976069798e-01
1.100000000000e+01 1.105884773637e+01 7.625996603712e-01 -1.968826288480e-01 1.431049445051e-01
1.300000000000e+01 1.304972244651e+01 5.584611826346e-01 -1.884495335167e-01 7.623971371143e-02
1.500000000000e+01 1.504288614228e+01 4.237788876343e-01 -1.837165155044e-01 6.092066592320e-02
1.700000000000e+01 1.703778139452e+01 3.298098981745e-01 -1.584466622713e-01 3.865492305102e-02
1.900000000000e+01 1.903365436353e+01 2.661671273743e-01 -1.404257134987e-01 2.102496633724e-02
2.100000000000e+01 2.103035737776e+01 2.124856639045e-01 -1.261405965046e-01 2.175006449910e-02
2.300000000000e+01 2.302764335110e+01 1.747834214086e-01 -1.065826976297e-01 8.974535123272e-03
2.500000000000e+01 2.502535124259e+01 1.427313726290e-01 -9.576932708709e-02 1.483184540887e-02
2.700000000000e+01 2.702345552562e+01 1.208492898548e-01 -8.326276110939e-02 7.802589985927e-03
2.900000000000e+01 2.902170084908e+01 9.989338732803e-02 -7.687846151161e-02 8.602735269132e-03
3.100000000000e+01 3.102020969607e+01 8.552314685573e-02 -6.936734003976e-02 1.217866319533e-02
3.300000000000e+01 3.301894455793e+01 7.336854528588e-02 -6.725394182469e-02 7.064793585501e-03
3.500000000000e+01 3.501780947336e+01 6.160439207333e-02 -6.144057615448e-02 8.852640018736e-03
3.700000000000e+01 3.701676518141e+01 5.354392398113e-02 -5.320160158778e-02 -6.362090892754e-04
3.900000000000e+01 3.901588397958e+01 4.683051309305e-02 -5.194319624195e-02 8.102889714858e-03
4.100000000000e+01 4.101506227121e+01 3.833441686132e-02 -5.136070660719e-02 5.037999060118e-03
4.300000000000e+01 4.301434330613e+01 3.343669413001e-02 -4.532195600408e-02 4.964081881677e-03
4.500000000000e+01 4.501370409197e+01 2.931402678778e-02 -4.336496867230e-02 2.439324198353e-03
4.700000000000e+01 4.701305351438e+01 2.531274048956e-02 -3.676197096490e-02 1.369982397632e-03
4.900000000000e+01 4.901244959799e+01 2.231604061546e-02 -3.390030440016e-02 -1.541220311362e-04
5.100000000000e+01 5.101194633046e+01 1.974180071366e-02 -3.092678358841e-02 1.199070025545e-04
5.300000000000e+01 5.301145930405e+01 1.712923870926e-02 -2.990738110627e-02 3.111491433174e-04
5.500000000000e+01 5.501100788052e+01 1.606696393905e-02 -2.652481587081e-02 -4.046705977633e-04
5.700000000000e+01 5.701054145169e+01 1.455295756550e-02 -2.548069294600e-02 -1.353247521916e-03
5.900000000000e+01 5.901016829366e+01 1.278342530276e-02 -2.133747129645e-02 1.406770951689e-03
