# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 765853
# D1D2.size2 = 765853
# D1R2.size1 = 765853
# D1R2.size2 = 20512711
# R1D2.size1 = 20512711
# R1D2.size2 = 765853
# R1R2.size1 = 20512711
# R1R2.size2 = 20512711
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454371003216e-01 2.424702152851e+02
4.439475303322e-01 4.461682244442e-01 2.028878138988e+02
5.733802840848e-01 5.761382698467e-01 1.503691723645e+02
7.405491138359e-01 7.440850645950e-01 1.210638651025e+02
9.564559599018e-01 9.610201494419e-01 1.139505760891e+02
1.235310374613e+00 1.241507794874e+00 1.027806863670e+02
1.595464700520e+00 1.603797159488e+00 9.082466142873e+01
2.060621899500e+00 2.071448754380e+00 7.366467584137e+01
2.661395524022e+00 2.675351619417e+00 6.333782750880e+01
3.437324497522e+00 3.455278128841e+00 5.106515545696e+01
4.439475303322e+00 4.462679104983e+00 4.215905197138e+01
5.733802840848e+00 5.763704670821e+00 3.460997698452e+01
7.405491138359e+00 7.444212075801e+00 2.763849145425e+01
9.564559599018e+00 9.614258534931e+00 2.164958302000e+01
1.235310374613e+01 1.241699260830e+01 1.648103371324e+01
1.595464700520e+01 1.603613837924e+01 1.240789400544e+01
2.060621899500e+01 2.071036086065e+01 8.719711842064e+00
2.661395524022e+01 2.674702318534e+01 5.879774025966e+00
