s_Mpch,xi0,xi2,xi4
3.209870297351506530e+00,5.402633494539859527e+00,2.367597421083365461e+00,2.770037506749885026e+00
5.129043409897412253e+00,2.829242125974933408e+00,6.782388194922990277e-01,1.189951865755636717e+00
7.093060728044583207e+00,1.676693987737463143e+00,5.533226868822175432e-02,5.161109025805383776e-01
9.072091439971128324e+00,1.091442185546959820e+00,-1.326452704428651708e-01,2.439999478959386514e-01
1.105849029535587924e+01,7.603931301251858343e-01,-1.977346352785052108e-01,1.379636499617718504e-01
1.305011853351123996e+01,5.576650008172356898e-01,-1.866379868075911663e-01,7.502999947690192073e-02
1.504298428359567907e+01,4.228853279865796844e-01,-1.856673602029444425e-01,6.367787543683045559e-02
1.703786735985210754e+01,3.285464568857227041e-01,-1.574463326528083296e-01,3.813215042127487964e-02
1.903358328858804782e+01,2.652739845511820627e-01,-1.417535484742616925e-01,1.720364887464101433e-02
2.103032133519133851e+01,2.116833279549026614e-01,-1.270419889901164279e-01,2.036361992432898088e-02
2.302753448961566818e+01,1.746410498743612705e-01,-1.068567702189095747e-01,6.209706799018738926e-03
2.502537609766734761e+01,1.413395519226281483e-01,-9.399237806176159726e-02,1.297326760601148939e-02
2.702333883758764799e+01,1.204699324910363661e-01,-8.025201964116211728e-02,6.365973212734578682e-03
2.902167105021877802e+01,9.935531730112480420e-02,-7.490058534949400881e-02,1.012458835726749891e-02
3.102023775359862867e+01,8.608389137147429149e-02,-6.758606460797987603e-02,1.297755119321848671e-02
3.301892103937208134e+01,7.337846809022131878e-02,-6.499594327289642814e-02,8.305330931595737709e-03
3.501787729649075942e+01,6.112299591454208730e-02,-6.143574221547423025e-02,8.882548074794193935e-03
3.701674912411361618e+01,5.312406245750198042e-02,-5.247737270126150155e-02,1.017489440351660411e-03
3.901586708227934963e+01,4.642784326004383011e-02,-4.838800860099773393e-02,8.899899085213181307e-03
4.101503130033704281e+01,3.815014994491490452e-02,-4.916790164958480258e-02,6.197663885147400645e-03
4.301437967996982792e+01,3.265125572973058554e-02,-4.289011709243761156e-02,7.078047543650278946e-03
4.501365891485018267e+01,2.964032391223432594e-02,-4.163732453177608483e-02,3.165485615870631403e-03
4.701300865261435291e+01,2.559320852664336010e-02,-3.586011263782620112e-02,2.545076740567338638e-03
4.901245465621072839e+01,2.210897369585036049e-02,-3.136286273059055163e-02,9.760757138034322367e-04
5.101183764155736355e+01,1.909102108271054296e-02,-2.898585622944790594e-02,1.141366615396193201e-03
5.301156074574237920e+01,1.663838343404314482e-02,-2.702744418160112419e-02,-7.606154584112646442e-04
5.501095115332805108e+01,1.587834684991962925e-02,-2.416820791403994501e-02,-3.531572017455968928e-04
5.701063994476294283e+01,1.425647488072101163e-02,-2.305828658023318864e-02,-6.713976001183989944e-04
5.901018634275413177e+01,1.257483527721589729e-02,-1.938698899332813586e-02,3.220429930344000102e-03
