# DESI DR1 LRG pycorr multipoles
# s_Mpch,xi0,xi2,xi4
# mode = smu
# autocorr = True
# D1D2.size1 = 757690
# D1D2.size2 = 757690
# D1R2.size1 = 757690
# D1R2.size2 = 5112682
# R1D2.size1 = 5112682
# R1D2.size2 = 757690
# R1R2.size1 = 5112682
# R1R2.size2 = 5112682
# los_type = midpoint
# bin_type = lin
# smid             savg               corr0(s)           corr2(s)            corr4(s)
3.000000000000e+00 3.209870297352e+00 5.402633494540e+00 2.367597421083e+00  2.770037506750e+00
5.000000000000e+00 5.129043409897e+00 2.829242125975e+00 6.782388194923e-01  1.189951865756e+00
7.000000000000e+00 7.093060728045e+00 1.676693987737e+00 5.533226868822e-02  5.161109025805e-01
9.000000000000e+00 9.072091439971e+00 1.091442185547e+00 -1.326452704429e-01 2.439999478959e-01
1.100000000000e+01 1.105849029536e+01 7.603931301252e-01 -1.977346352785e-01 1.379636499618e-01
1.300000000000e+01 1.305011853351e+01 5.576650008172e-01 -1.866379868076e-01 7.502999947690e-02
1.500000000000e+01 1.504298428360e+01 4.228853279866e-01 -1.856673602029e-01 6.367787543683e-02
1.700000000000e+01 1.703786735985e+01 3.285464568857e-01 -1.574463326528e-01 3.813215042127e-02
1.900000000000e+01 1.903358328859e+01 2.652739845512e-01 -1.417535484743e-01 1.720364887464e-02
2.100000000000e+01 2.103032133519e+01 2.116833279549e-01 -1.270419889901e-01 2.036361992433e-02
2.300000000000e+01 2.302753448962e+01 1.746410498744e-01 -1.068567702189e-01 6.209706799019e-03
2.500000000000e+01 2.502537609767e+01 1.413395519226e-01 -9.399237806176e-02 1.297326760601e-02
2.700000000000e+01 2.702333883759e+01 1.204699324910e-01 -8.025201964116e-02 6.365973212735e-03
2.900000000000e+01 2.902167105022e+01 9.935531730112e-02 -7.490058534949e-02 1.012458835727e-02
3.100000000000e+01 3.102023775360e+01 8.608389137147e-02 -6.758606460798e-02 1.297755119322e-02
3.300000000000e+01 3.301892103937e+01 7.337846809022e-02 -6.499594327290e-02 8.305330931596e-03
3.500000000000e+01 3.501787729649e+01 6.112299591454e-02 -6.143574221547e-02 8.882548074794e-03
3.700000000000e+01 3.701674912411e+01 5.312406245750e-02 -5.247737270126e-02 1.017489440352e-03
3.900000000000e+01 3.901586708228e+01 4.642784326004e-02 -4.838800860100e-02 8.899899085213e-03
4.100000000000e+01 4.101503130034e+01 3.815014994491e-02 -4.916790164958e-02 6.197663885147e-03
4.300000000000e+01 4.301437967997e+01 3.265125572973e-02 -4.289011709244e-02 7.078047543650e-03
4.500000000000e+01 4.501365891485e+01 2.964032391223e-02 -4.163732453178e-02 3.165485615871e-03
4.700000000000e+01 4.701300865261e+01 2.559320852664e-02 -3.586011263783e-02 2.545076740567e-03
4.900000000000e+01 4.901245465621e+01 2.210897369585e-02 -3.136286273059e-02 9.760757138034e-04
5.100000000000e+01 5.101183764156e+01 1.909102108271e-02 -2.898585622945e-02 1.141366615396e-03
5.300000000000e+01 5.301156074574e+01 1.663838343404e-02 -2.702744418160e-02 -7.606154584113e-04
5.500000000000e+01 5.501095115333e+01 1.587834684992e-02 -2.416820791404e-02 -3.531572017456e-04
5.700000000000e+01 5.701063994476e+01 1.425647488072e-02 -2.305828658023e-02 -6.713976001184e-04
5.900000000000e+01 5.901018634275e+01 1.257483527722e-02 -1.938698899333e-02 3.220429930344e-03
