rp_Mpch,wp
3.453349270682589678e-01,2.357517412687528520e+02
4.460531799758942761e-01,1.991099694644094882e+02
5.761642237558100010e-01,1.476488511054364494e+02
7.441262230209818584e-01,1.194223271217913691e+02
9.609643899987611038e-01,1.145023358559718076e+02
1.241616571747138575e+00,1.027629581439675377e+02
1.603903600852384148e+00,9.114763456189956514e+01
2.071643071336761288e+00,7.363263100421610829e+01
2.675464301469195227e+00,6.314069050910927672e+01
3.455286139932648659e+00,5.117841174524703263e+01
4.462726628599993361e+00,4.236142176268408832e+01
5.763619133176913323e+00,3.464844322489317108e+01
7.444201047317777764e+00,2.768785932922203230e+01
9.614153367671340433e+00,2.172929138960653006e+01
1.241694714860764925e+01,1.660859286740440055e+01
1.603602134637626975e+01,1.259938386663078447e+01
2.071007683318747539e+01,8.847956756683243995e+00
2.674675531280125185e+01,5.930686211616158943e+00
