# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 757690
# D1D2.size2 = 757690
# D1R2.size1 = 757690
# D1R2.size2 = 5112682
# R1D2.size1 = 5112682
# R1D2.size2 = 757690
# R1R2.size1 = 5112682
# R1R2.size2 = 5112682
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.453349270683e-01 2.357517412688e+02
4.439475303322e-01 4.460531799759e-01 1.991099694644e+02
5.733802840848e-01 5.761642237558e-01 1.476488511054e+02
7.405491138359e-01 7.441262230210e-01 1.194223271218e+02
9.564559599018e-01 9.609643899988e-01 1.145023358560e+02
1.235310374613e+00 1.241616571747e+00 1.027629581440e+02
1.595464700520e+00 1.603903600852e+00 9.114763456190e+01
2.060621899500e+00 2.071643071337e+00 7.363263100422e+01
2.661395524022e+00 2.675464301469e+00 6.314069050911e+01
3.437324497522e+00 3.455286139933e+00 5.117841174525e+01
4.439475303322e+00 4.462726628600e+00 4.236142176268e+01
5.733802840848e+00 5.763619133177e+00 3.464844322489e+01
7.405491138359e+00 7.444201047318e+00 2.768785932922e+01
9.564559599018e+00 9.614153367671e+00 2.172929138961e+01
1.235310374613e+01 1.241694714861e+01 1.660859286740e+01
1.595464700520e+01 1.603602134638e+01 1.259938386663e+01
2.060621899500e+01 2.071007683319e+01 8.847956756683e+00
2.661395524022e+01 2.674675531280e+01 5.930686211616e+00
