s_Mpch,xi0,xi2,xi4
3.210023318012589222e+00,5.406286975418421292e+00,2.395266905823757675e+00,2.809840157272087691e+00
5.128935510957989941e+00,2.832043528005319111e+00,6.827571902810604110e-01,1.194067940857482579e+00
7.092659826242317500e+00,1.679746397916890288e+00,6.118624987151617678e-02,5.260196146170175169e-01
9.071987614253018251e+00,1.095750128370928778e+00,-1.313131808162287251e-01,2.545739662805686088e-01
1.105887073591695469e+01,7.624150655200931936e-01,-1.948877715562625512e-01,1.424841677813734053e-01
1.304973491107958417e+01,5.586444083202269928e-01,-1.880148355831088303e-01,7.495241870465357836e-02
1.504290468780534518e+01,4.237964578816338923e-01,-1.831525945260709665e-01,5.978502808494881582e-02
1.703780085357808005e+01,3.297070972419615664e-01,-1.580193853487569799e-01,3.890611179562506600e-02
1.903366780846532436e+01,2.660186521581431318e-01,-1.404679078155807170e-01,2.162345853458083958e-02
2.103037630419933990e+01,2.122477611583912238e-01,-1.256267630915967048e-01,2.113624632136197612e-02
2.302766068469552962e+01,1.746076310167179735e-01,-1.065448871278513177e-01,8.986713556957848237e-03
2.502536415165389272e+01,1.426403052084220802e-01,-9.538316770218427387e-02,1.378684764720803160e-02
2.702346616940345569e+01,1.207717130615987844e-01,-8.337863730721416233e-02,7.148495821614971740e-03
2.902171295032361442e+01,9.981163290100034113e-02,-7.700874846227860615e-02,8.344745025575186700e-03
3.102022550732896988e+01,8.553024057443131545e-02,-6.926924601758249755e-02,1.159448613393790871e-02
3.301895795649731014e+01,7.327645563813575680e-02,-6.742020009273350101e-02,6.599404697386760006e-03
3.501782041255467703e+01,6.137805122187633272e-02,-6.159991830203945945e-02,8.700161457774076984e-03
3.701678068081689332e+01,5.350535430618972438e-02,-5.304752629946318798e-02,-8.318854332004885915e-04
3.901589764874085375e+01,4.671105381173704107e-02,-5.173797595255368031e-02,7.881424987908065838e-03
4.101507649971340186e+01,3.815051039035852881e-02,-5.134090745324230987e-02,4.805895280171117341e-03
4.301435207730656884e+01,3.333727934067002435e-02,-4.555845944902937872e-02,4.700921890558398993e-03
4.501371737456335609e+01,2.917916156892055857e-02,-4.384689772211416980e-02,2.564847984557664870e-03
4.701306629374364832e+01,2.516298303433345956e-02,-3.690255605533256100e-02,1.322900743622080046e-03
4.901246482560057416e+01,2.226415599331378614e-02,-3.386357668417705469e-02,-4.547608829544961010e-04
5.101196018043999203e+01,1.970307243591441770e-02,-3.045153336493564011e-02,3.106766997852683249e-04
5.301147261081703732e+01,1.713710884653811897e-02,-2.959223962664290011e-02,1.542344226741260062e-04
5.501102142125616012e+01,1.617363072002199822e-02,-2.630916986502625232e-02,-1.920005294831167528e-04
5.701055445177243541e+01,1.451388748683496779e-02,-2.532822444465570449e-02,-1.031050907275980625e-03
5.901018095383947326e+01,1.282513742857540814e-02,-2.106819278351310804e-02,1.458499875542533042e-03
