# DESI DR1 LRG pycorr multipoles
# s_Mpch,xi0,xi2,xi4
# mode = smu
# autocorr = True
# D1D2.size1 = 771894
# D1D2.size2 = 771894
# D1R2.size1 = 771894
# D1R2.size2 = 20713263
# R1D2.size1 = 20713263
# R1D2.size2 = 771894
# R1R2.size1 = 20713263
# R1R2.size2 = 20713263
# los_type = midpoint
# bin_type = lin
# smid             savg               corr0(s)           corr2(s)            corr4(s)
3.000000000000e+00 3.210023318013e+00 5.406286975418e+00 2.395266905824e+00  2.809840157272e+00
5.000000000000e+00 5.128935510958e+00 2.832043528005e+00 6.827571902811e-01  1.194067940857e+00
7.000000000000e+00 7.092659826242e+00 1.679746397917e+00 6.118624987152e-02  5.260196146170e-01
9.000000000000e+00 9.071987614253e+00 1.095750128371e+00 -1.313131808162e-01 2.545739662806e-01
1.100000000000e+01 1.105887073592e+01 7.624150655201e-01 -1.948877715563e-01 1.424841677814e-01
1.300000000000e+01 1.304973491108e+01 5.586444083202e-01 -1.880148355831e-01 7.495241870465e-02
1.500000000000e+01 1.504290468781e+01 4.237964578816e-01 -1.831525945261e-01 5.978502808495e-02
1.700000000000e+01 1.703780085358e+01 3.297070972420e-01 -1.580193853488e-01 3.890611179563e-02
1.900000000000e+01 1.903366780847e+01 2.660186521581e-01 -1.404679078156e-01 2.162345853458e-02
2.100000000000e+01 2.103037630420e+01 2.122477611584e-01 -1.256267630916e-01 2.113624632136e-02
2.300000000000e+01 2.302766068470e+01 1.746076310167e-01 -1.065448871279e-01 8.986713556958e-03
2.500000000000e+01 2.502536415165e+01 1.426403052084e-01 -9.538316770218e-02 1.378684764721e-02
2.700000000000e+01 2.702346616940e+01 1.207717130616e-01 -8.337863730721e-02 7.148495821615e-03
2.900000000000e+01 2.902171295032e+01 9.981163290100e-02 -7.700874846228e-02 8.344745025575e-03
3.100000000000e+01 3.102022550733e+01 8.553024057443e-02 -6.926924601758e-02 1.159448613394e-02
3.300000000000e+01 3.301895795650e+01 7.327645563814e-02 -6.742020009273e-02 6.599404697387e-03
3.500000000000e+01 3.501782041255e+01 6.137805122188e-02 -6.159991830204e-02 8.700161457774e-03
3.700000000000e+01 3.701678068082e+01 5.350535430619e-02 -5.304752629946e-02 -8.318854332005e-04
3.900000000000e+01 3.901589764874e+01 4.671105381174e-02 -5.173797595255e-02 7.881424987908e-03
4.100000000000e+01 4.101507649971e+01 3.815051039036e-02 -5.134090745324e-02 4.805895280171e-03
4.300000000000e+01 4.301435207731e+01 3.333727934067e-02 -4.555845944903e-02 4.700921890558e-03
4.500000000000e+01 4.501371737456e+01 2.917916156892e-02 -4.384689772211e-02 2.564847984558e-03
4.700000000000e+01 4.701306629374e+01 2.516298303433e-02 -3.690255605533e-02 1.322900743622e-03
4.900000000000e+01 4.901246482560e+01 2.226415599331e-02 -3.386357668418e-02 -4.547608829545e-04
5.100000000000e+01 5.101196018044e+01 1.970307243591e-02 -3.045153336494e-02 3.106766997853e-04
5.300000000000e+01 5.301147261082e+01 1.713710884654e-02 -2.959223962664e-02 1.542344226741e-04
5.500000000000e+01 5.501102142126e+01 1.617363072002e-02 -2.630916986503e-02 -1.920005294831e-04
5.700000000000e+01 5.701055445177e+01 1.451388748683e-02 -2.532822444466e-02 -1.031050907276e-03
5.900000000000e+01 5.901018095384e+01 1.282513742858e-02 -2.106819278351e-02 1.458499875543e-03
