rp_Mpch,wp
3.454363083059288075e-01,2.415016709823335077e+02
4.461662180360373431e-01,2.026371373753001137e+02
5.761356451482574359e-01,1.495117699060623409e+02
7.440818690302262173e-01,1.210323039988894749e+02
9.610170497889370944e-01,1.142642502279102104e+02
1.241508157369093590e+00,1.026974073607763671e+02
1.603798333135123322e+00,9.085959457760321811e+01
2.071447762978708251e+00,7.373338067340984026e+01
2.675352917023110511e+00,6.333993711064611176e+01
3.455281012762683623e+00,5.107841280360910474e+01
4.462678487403256788e+00,4.218235453150201408e+01
5.763705166875068286e+00,3.461043607011526291e+01
7.444209778763198671e+00,2.762623127301827708e+01
9.614254566531133861e+00,2.167309123904210821e+01
1.241699129832570314e+01,1.649388969489595880e+01
1.603613754282893922e+01,1.241529913917975669e+01
2.071035572265580527e+01,8.726540348275991121e+00
2.674704517062894737e+01,5.884138107133717099e+00
