# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 771894
# D1D2.size2 = 771894
# D1R2.size1 = 771894
# D1R2.size2 = 20713263
# R1D2.size1 = 20713263
# R1D2.size2 = 771894
# R1R2.size1 = 20713263
# R1R2.size2 = 20713263
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454363083059e-01 2.415016709823e+02
4.439475303322e-01 4.461662180360e-01 2.026371373753e+02
5.733802840848e-01 5.761356451483e-01 1.495117699061e+02
7.405491138359e-01 7.440818690302e-01 1.210323039989e+02
9.564559599018e-01 9.610170497889e-01 1.142642502279e+02
1.235310374613e+00 1.241508157369e+00 1.026974073608e+02
1.595464700520e+00 1.603798333135e+00 9.085959457760e+01
2.060621899500e+00 2.071447762979e+00 7.373338067341e+01
2.661395524022e+00 2.675352917023e+00 6.333993711065e+01
3.437324497522e+00 3.455281012763e+00 5.107841280361e+01
4.439475303322e+00 4.462678487403e+00 4.218235453150e+01
5.733802840848e+00 5.763705166875e+00 3.461043607012e+01
7.405491138359e+00 7.444209778763e+00 2.762623127302e+01
9.564559599018e+00 9.614254566531e+00 2.167309123904e+01
1.235310374613e+01 1.241699129833e+01 1.649388969490e+01
1.595464700520e+01 1.603613754283e+01 1.241529913918e+01
2.060621899500e+01 2.071035572266e+01 8.726540348276e+00
2.661395524022e+01 2.674704517063e+01 5.884138107134e+00
