s_Mpch,xi0,xi2,xi4
3.209605923811138961e+00,4.849403662730784603e+00,2.256734381959231150e+00,3.330120617337244404e+00
5.127729736777843605e+00,2.472822936068305388e+00,7.034890483728162280e-01,1.397980764782603469e+00
7.090637086826680147e+00,1.449545833914237081e+00,1.766034018457988269e-02,5.098163761492180424e-01
9.069805785581337432e+00,9.646514012709532793e-01,-1.702481710699088602e-01,3.478866799550452971e-01
1.105647840234670731e+01,6.657526828789714912e-01,-2.168507885393187173e-01,1.636097119671262035e-01
1.304715129571399146e+01,5.103663979985703092e-01,-1.635396568188386135e-01,1.261519902836651386e-01
1.504037362671289380e+01,4.135496447656472618e-01,-1.326681627087930027e-01,6.188185032308531758e-02
1.703512821194531668e+01,3.234401923554083291e-01,-1.230328269873370017e-01,5.805333323752460972e-02
1.903093790672972574e+01,2.727697486369093371e-01,-1.286172305496452728e-01,6.046132570960614100e-02
2.102752628939717994e+01,2.216768345257564277e-01,-1.065344402977978500e-01,1.941879890460618263e-02
2.302479457200223578e+01,1.858569502308971000e-01,-9.762565703751244217e-02,4.062404495244577307e-02
2.502242484138007228e+01,1.507712929546805025e-01,-1.142169320568919288e-01,1.241037344007311916e-02
2.702040180240603462e+01,1.290369290708302807e-01,-9.842580049709992451e-02,1.939529632601415948e-02
2.901865937883652791e+01,1.055254738703336193e-01,-7.608826724135020481e-02,1.883179222334962696e-02
3.101709677405025900e+01,8.693069875435763261e-02,-5.276952791018081623e-02,2.938857476686704620e-02
3.301571472129426610e+01,7.065250673064910059e-02,-6.819424934777303104e-02,3.501635383172907456e-02
3.501451678322450078e+01,6.046682380941906243e-02,-6.097561854339540038e-02,3.333459898230438367e-02
3.701348573215812365e+01,4.387322305021733315e-02,-5.170631601858487192e-02,3.481964400200050769e-02
3.901247678000990504e+01,3.083472077717670790e-02,-3.634099731587474291e-02,2.717165422142472919e-02
4.101156005847355601e+01,2.867109077224018823e-02,-4.046720017981499107e-02,2.080688124172455286e-02
4.301077933924830887e+01,2.123761741012175630e-02,-4.105667728069120614e-02,1.425735832805635761e-02
4.501003156289866780e+01,2.006434226726837300e-02,-3.901584124854039909e-02,3.000441941031348203e-02
4.700935111696993118e+01,1.318123160485172064e-02,-3.681636078772237974e-02,2.063485425249030752e-02
4.900870799129498323e+01,1.373747889486044704e-02,-3.918083786180527606e-02,3.033766600552900011e-02
5.100809921255242330e+01,1.496453082096874804e-02,-4.854560334016067707e-02,2.176379930107557106e-02
5.300750757669794666e+01,8.331571030556511603e-03,-3.803398874006667235e-02,2.000990627595034682e-02
5.500693694801628197e+01,1.212470043845508515e-02,-4.488150872171188521e-02,3.076038007791418241e-02
5.700640170375054083e+01,1.293833803006124231e-02,-4.383996350834087896e-02,3.797507588753260693e-02
5.900593355379275806e+01,1.018619159771897570e-02,-3.704929609379670197e-02,4.330783206934249452e-02
