# DESI DR1 LRG pycorr multipoles
# s_Mpch,xi0,xi2,xi4
# mode = smu
# autocorr = True
# D1D2.size1 = 38249
# D1D2.size2 = 38249
# D1R2.size1 = 38249
# D1R2.size2 = 1888696
# R1D2.size1 = 1888696
# R1D2.size2 = 38249
# R1R2.size1 = 1888696
# R1R2.size2 = 1888696
# los_type = midpoint
# bin_type = lin
# smid             savg               corr0(s)           corr2(s)            corr4(s)
3.000000000000e+00 3.209605923811e+00 4.849403662731e+00 2.256734381959e+00  3.330120617337e+00
5.000000000000e+00 5.127729736778e+00 2.472822936068e+00 7.034890483728e-01  1.397980764783e+00
7.000000000000e+00 7.090637086827e+00 1.449545833914e+00 1.766034018458e-02  5.098163761492e-01
9.000000000000e+00 9.069805785581e+00 9.646514012710e-01 -1.702481710699e-01 3.478866799550e-01
1.100000000000e+01 1.105647840235e+01 6.657526828790e-01 -2.168507885393e-01 1.636097119671e-01
1.300000000000e+01 1.304715129571e+01 5.103663979986e-01 -1.635396568188e-01 1.261519902837e-01
1.500000000000e+01 1.504037362671e+01 4.135496447656e-01 -1.326681627088e-01 6.188185032309e-02
1.700000000000e+01 1.703512821195e+01 3.234401923554e-01 -1.230328269873e-01 5.805333323752e-02
1.900000000000e+01 1.903093790673e+01 2.727697486369e-01 -1.286172305496e-01 6.046132570961e-02
2.100000000000e+01 2.102752628940e+01 2.216768345258e-01 -1.065344402978e-01 1.941879890461e-02
2.300000000000e+01 2.302479457200e+01 1.858569502309e-01 -9.762565703751e-02 4.062404495245e-02
2.500000000000e+01 2.502242484138e+01 1.507712929547e-01 -1.142169320569e-01 1.241037344007e-02
2.700000000000e+01 2.702040180241e+01 1.290369290708e-01 -9.842580049710e-02 1.939529632601e-02
2.900000000000e+01 2.901865937884e+01 1.055254738703e-01 -7.608826724135e-02 1.883179222335e-02
3.100000000000e+01 3.101709677405e+01 8.693069875436e-02 -5.276952791018e-02 2.938857476687e-02
3.300000000000e+01 3.301571472129e+01 7.065250673065e-02 -6.819424934777e-02 3.501635383173e-02
3.500000000000e+01 3.501451678322e+01 6.046682380942e-02 -6.097561854340e-02 3.333459898230e-02
3.700000000000e+01 3.701348573216e+01 4.387322305022e-02 -5.170631601858e-02 3.481964400200e-02
3.900000000000e+01 3.901247678001e+01 3.083472077718e-02 -3.634099731587e-02 2.717165422142e-02
4.100000000000e+01 4.101156005847e+01 2.867109077224e-02 -4.046720017981e-02 2.080688124172e-02
4.300000000000e+01 4.301077933925e+01 2.123761741012e-02 -4.105667728069e-02 1.425735832806e-02
4.500000000000e+01 4.501003156290e+01 2.006434226727e-02 -3.901584124854e-02 3.000441941031e-02
4.700000000000e+01 4.700935111697e+01 1.318123160485e-02 -3.681636078772e-02 2.063485425249e-02
4.900000000000e+01 4.900870799129e+01 1.373747889486e-02 -3.918083786181e-02 3.033766600553e-02
5.100000000000e+01 5.100809921255e+01 1.496453082097e-02 -4.854560334016e-02 2.176379930108e-02
5.300000000000e+01 5.300750757670e+01 8.331571030557e-03 -3.803398874007e-02 2.000990627595e-02
5.500000000000e+01 5.500693694802e+01 1.212470043846e-02 -4.488150872171e-02 3.076038007791e-02
5.700000000000e+01 5.700640170375e+01 1.293833803006e-02 -4.383996350834e-02 3.797507588753e-02
5.900000000000e+01 5.900593355379e+01 1.018619159772e-02 -3.704929609380e-02 4.330783206934e-02
