rp_Mpch,wp
3.454766322720824734e-01,3.576394590643532752e+02
4.462780198610913907e-01,2.544369303038516250e+02
5.763676167717535215e-01,1.924529460300476273e+02
7.443640344473934078e-01,1.636786878228149931e+02
9.614573121371681186e-01,1.176715049183103332e+02
1.241795322400649271e+00,9.705351869421541267e+01
1.603862839766402315e+00,8.383189082475909970e+01
2.071401047075275947e+00,7.389526357132270107e+01
2.675266504819347801e+00,6.385561718389116947e+01
3.455052396009687499e+00,5.377335900146629655e+01
4.462100347466923189e+00,4.207653233682769667e+01
5.762510602852429109e+00,3.433674489914450589e+01
7.441754714711523278e+00,2.848278907022186246e+01
9.609907347419541779e+00,2.244895380522754991e+01
1.240899861625440437e+01,1.689811807593462234e+01
1.602246516292089851e+01,1.254858175059931291e+01
2.068541929986647077e+01,7.868793263248219816e+00
2.670132685483517676e+01,5.368122423697061052e+00
