# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 38249
# D1D2.size2 = 38249
# D1R2.size1 = 38249
# D1R2.size2 = 1888696
# R1D2.size1 = 1888696
# R1D2.size2 = 38249
# R1R2.size1 = 1888696
# R1R2.size2 = 1888696
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.454766322721e-01 3.576394590644e+02
4.439475303322e-01 4.462780198611e-01 2.544369303039e+02
5.733802840848e-01 5.763676167718e-01 1.924529460300e+02
7.405491138359e-01 7.443640344474e-01 1.636786878228e+02
9.564559599018e-01 9.614573121372e-01 1.176715049183e+02
1.235310374613e+00 1.241795322401e+00 9.705351869422e+01
1.595464700520e+00 1.603862839766e+00 8.383189082476e+01
2.060621899500e+00 2.071401047075e+00 7.389526357132e+01
2.661395524022e+00 2.675266504819e+00 6.385561718389e+01
3.437324497522e+00 3.455052396010e+00 5.377335900147e+01
4.439475303322e+00 4.462100347467e+00 4.207653233683e+01
5.733802840848e+00 5.762510602852e+00 3.433674489914e+01
7.405491138359e+00 7.441754714712e+00 2.848278907022e+01
9.564559599018e+00 9.609907347420e+00 2.244895380523e+01
1.235310374613e+01 1.240899861625e+01 1.689811807593e+01
1.595464700520e+01 1.602246516292e+01 1.254858175060e+01
2.060621899500e+01 2.068541929987e+01 7.868793263248e+00
2.661395524022e+01 2.670132685484e+01 5.368122423697e+00
