s_Mpch,xi0,xi2,xi4
3.209752522965778621e+00,5.473264179947997299e+00,2.443412921827782469e+00,3.993534800224785464e+00
5.127472178478962306e+00,2.763232450322741229e+00,7.893621296400645804e-01,1.521107617304077397e+00
7.090707898017917010e+00,1.599731425163003484e+00,6.746842766115783430e-02,6.396037755341911213e-01
9.069738192594513748e+00,1.059730963980256346e+00,-1.783164276992259267e-01,4.158522550619452307e-01
1.105643820530755761e+01,7.212767193531384180e-01,-2.359526266659925375e-01,1.886408563975350283e-01
1.304716126071059001e+01,5.567228188419819368e-01,-1.706109338194526925e-01,1.177358799506617315e-01
1.504040843363733160e+01,4.401962170232505134e-01,-1.264097303355545265e-01,5.870992270640807559e-02
1.703510182916421911e+01,3.425827858378241997e-01,-1.300275641910991209e-01,6.797828828925819855e-02
1.903088186414111860e+01,2.917627529719051260e-01,-1.295756316647020956e-01,8.959229923487489755e-02
2.102754287179355686e+01,2.352614144112235017e-01,-1.185754482725748238e-01,1.839513216200147627e-02
2.302485526289636297e+01,1.985695593924499125e-01,-9.255580137710457678e-02,4.395157911241794058e-02
2.502244437327476945e+01,1.566432169037032529e-01,-1.000741459490730317e-01,2.591294876669825165e-02
2.702040006912243442e+01,1.377840588731490679e-01,-1.030035960565325037e-01,2.952667811882176904e-02
2.901867090589415454e+01,1.096853743980394369e-01,-7.024360395693816927e-02,2.060807078265441267e-02
3.101711490088668555e+01,8.847587207572069068e-02,-4.768485675786429678e-02,2.263479487729477824e-02
3.301574008539736838e+01,7.249529221956621527e-02,-6.659851813209821669e-02,2.713421358895528462e-02
3.501456327944254809e+01,6.097396233759464629e-02,-6.159097253240228276e-02,3.185716586614176227e-02
3.701351650964293327e+01,4.489163980403749338e-02,-5.184999824657743339e-02,3.516463235942210441e-02
3.901250599972574662e+01,3.379964483861336300e-02,-3.881110874631613084e-02,2.722085583447482818e-02
4.101158998818227275e+01,3.092616688296364810e-02,-4.400682271305218773e-02,2.474135147909220858e-02
4.301080676013452830e+01,2.305069646426051444e-02,-4.087419813233647559e-02,6.424352730828305352e-03
4.501004277333518644e+01,2.059991410141841228e-02,-4.055920114966339585e-02,4.217488433840257955e-02
4.700935273328150288e+01,1.609628950399498437e-02,-3.594207317106826866e-02,3.032823201788653611e-02
4.900873279801808025e+01,1.822447807684261442e-02,-4.087199721426341970e-02,3.502595262451915076e-02
5.100809215308424172e+01,1.586221743071187379e-02,-5.398475925653507812e-02,2.824523386628829263e-02
5.300751776809427440e+01,8.080525734540062316e-03,-3.942297853604767588e-02,2.518349093240444120e-02
5.500694895758820024e+01,1.411744507510982044e-02,-4.622750879644217659e-02,3.626775766114893190e-02
5.700642376471439121e+01,1.460301367164556531e-02,-4.969805575290191235e-02,4.875946703986159397e-02
5.900593416992668949e+01,1.038034874245309658e-02,-4.300825832155759365e-02,5.335577050238627522e-02
