# DESI DR1 LRG pycorr multipoles
# s_Mpch,xi0,xi2,xi4
# mode = smu
# autocorr = True
# D1D2.size1 = 29789
# D1D2.size2 = 29789
# D1R2.size1 = 29789
# D1R2.size2 = 1472815
# R1D2.size1 = 1472815
# R1D2.size2 = 29789
# R1R2.size1 = 1472815
# R1R2.size2 = 1472815
# los_type = midpoint
# bin_type = lin
# smid             savg               corr0(s)           corr2(s)            corr4(s)
3.000000000000e+00 3.209752522966e+00 5.473264179948e+00 2.443412921828e+00  3.993534800225e+00
5.000000000000e+00 5.127472178479e+00 2.763232450323e+00 7.893621296401e-01  1.521107617304e+00
7.000000000000e+00 7.090707898018e+00 1.599731425163e+00 6.746842766116e-02  6.396037755342e-01
9.000000000000e+00 9.069738192595e+00 1.059730963980e+00 -1.783164276992e-01 4.158522550619e-01
1.100000000000e+01 1.105643820531e+01 7.212767193531e-01 -2.359526266660e-01 1.886408563975e-01
1.300000000000e+01 1.304716126071e+01 5.567228188420e-01 -1.706109338195e-01 1.177358799507e-01
1.500000000000e+01 1.504040843364e+01 4.401962170233e-01 -1.264097303356e-01 5.870992270641e-02
1.700000000000e+01 1.703510182916e+01 3.425827858378e-01 -1.300275641911e-01 6.797828828926e-02
1.900000000000e+01 1.903088186414e+01 2.917627529719e-01 -1.295756316647e-01 8.959229923487e-02
2.100000000000e+01 2.102754287179e+01 2.352614144112e-01 -1.185754482726e-01 1.839513216200e-02
2.300000000000e+01 2.302485526290e+01 1.985695593924e-01 -9.255580137710e-02 4.395157911242e-02
2.500000000000e+01 2.502244437327e+01 1.566432169037e-01 -1.000741459491e-01 2.591294876670e-02
2.700000000000e+01 2.702040006912e+01 1.377840588731e-01 -1.030035960565e-01 2.952667811882e-02
2.900000000000e+01 2.901867090589e+01 1.096853743980e-01 -7.024360395694e-02 2.060807078265e-02
3.100000000000e+01 3.101711490089e+01 8.847587207572e-02 -4.768485675786e-02 2.263479487729e-02
3.300000000000e+01 3.301574008540e+01 7.249529221957e-02 -6.659851813210e-02 2.713421358896e-02
3.500000000000e+01 3.501456327944e+01 6.097396233759e-02 -6.159097253240e-02 3.185716586614e-02
3.700000000000e+01 3.701351650964e+01 4.489163980404e-02 -5.184999824658e-02 3.516463235942e-02
3.900000000000e+01 3.901250599973e+01 3.379964483861e-02 -3.881110874632e-02 2.722085583447e-02
4.100000000000e+01 4.101158998818e+01 3.092616688296e-02 -4.400682271305e-02 2.474135147909e-02
4.300000000000e+01 4.301080676013e+01 2.305069646426e-02 -4.087419813234e-02 6.424352730828e-03
4.500000000000e+01 4.501004277334e+01 2.059991410142e-02 -4.055920114966e-02 4.217488433840e-02
4.700000000000e+01 4.700935273328e+01 1.609628950399e-02 -3.594207317107e-02 3.032823201789e-02
4.900000000000e+01 4.900873279802e+01 1.822447807684e-02 -4.087199721426e-02 3.502595262452e-02
5.100000000000e+01 5.100809215308e+01 1.586221743071e-02 -5.398475925654e-02 2.824523386629e-02
5.300000000000e+01 5.300751776809e+01 8.080525734540e-03 -3.942297853605e-02 2.518349093240e-02
5.500000000000e+01 5.500694895759e+01 1.411744507511e-02 -4.622750879644e-02 3.626775766115e-02
5.700000000000e+01 5.700642376471e+01 1.460301367165e-02 -4.969805575290e-02 4.875946703986e-02
5.900000000000e+01 5.900593416993e+01 1.038034874245e-02 -4.300825832156e-02 5.335577050239e-02
