rp_Mpch,wp
3.454956542661702934e-01,4.249240009545759449e+02
4.463084862027636435e-01,2.833891418499442238e+02
5.763659161810102960e-01,2.104317486957282881e+02
7.443726635507269540e-01,1.838372264742522475e+02
9.614338321064944681e-01,1.316924103731029732e+02
1.241817164998393119e+00,1.044362310315236186e+02
1.603885637487055149e+00,9.117725635157322017e+01
2.071407403875381803e+00,8.313756136533096708e+01
2.675246848255163457e+00,7.104334682470758366e+01
3.455065966827882917e+00,6.042538756050429072e+01
4.462078776592972140e+00,4.623026531042844312e+01
5.762482734013221197e+00,3.746132390487630204e+01
7.441770840111834318e+00,3.155709692850095394e+01
9.609873412558416206e+00,2.484164393325491105e+01
1.240898629514588869e+01,1.817600452582432524e+01
1.602243174908621981e+01,1.299396851020588173e+01
2.068537237448882493e+01,8.505424583706529873e+00
2.670124656625688786e+01,5.787508315546122439e+00
