# DESI DR1 LRG pycorr projected correlation
# rp_Mpch,wp
# mode = rppi
# autocorr = True
# D1D2.size1 = 11756
# D1D2.size2 = 11756
# D1R2.size1 = 11756
# D1R2.size2 = 584758
# R1D2.size1 = 584758
# R1D2.size2 = 11756
# R1R2.size1 = 584758
# R1R2.size2 = 584758
# los_type = midpoint
# bin_type = auto
# rpmid            rpavg              corr(rp)
3.437324497522e-01 3.455165404638e-01 6.552700293718e+02
4.439475303322e-01 4.462693010806e-01 4.892227061052e+02
5.733802840848e-01 5.762733989777e-01 3.315039507014e+02
7.405491138359e-01 7.443138980761e-01 2.569079073731e+02
9.564559599018e-01 9.615121071466e-01 1.996576482186e+02
1.235310374613e+00 1.242031595024e+00 1.413729241949e+02
1.595464700520e+00 1.603803977857e+00 1.086476257763e+02
2.060621899500e+00 2.071313666027e+00 1.074616336398e+02
2.661395524022e+00 2.675189278863e+00 8.928345799377e+01
3.437324497522e+00 3.455100857028e+00 8.739484826322e+01
4.439475303322e+00 4.462065127232e+00 6.136401255741e+01
5.733802840848e+00 5.762492717319e+00 4.818682102784e+01
7.405491138359e+00 7.441749273264e+00 4.375395215303e+01
9.564559599018e+00 9.609849443562e+00 3.283451510302e+01
1.235310374613e+01 1.240901382504e+01 2.423196439788e+01
1.595464700520e+01 1.602234751620e+01 1.643658817002e+01
2.060621899500e+01 2.068512229241e+01 1.063193100795e+01
2.661395524022e+01 2.670161274368e+01 7.526040773952e+00
