f_sat_target,alpha_s,n_gal,n_sat,f_sat_actual,model_number_density_h3_mpc3,observed_number_density_h3_mpc3,chi2_xi0,chi2_xi2,chi2_wp,chi2_density,chi2_cov,chi2_total_cov,chi2_total,status
0.16,0.8,4580,733,0.16004366812227075,0.0005316231627515561,0.0005315890336544999,183.94920202693686,71.33964523241913,107.90425068636534,1.8318384502550326e-07,1425.827991461179,1425.8279916443628,363.19309812890515,ok
0.16,1.0,4580,733,0.16004366812227075,0.0005316231627515561,0.0005315890336544999,180.4134966065304,66.76533185557054,107.50225594620127,1.8318384502550326e-07,1464.5879166308148,1464.5879168139986,354.68108459148607,ok
0.16,0.6,4580,733,0.16004366812227075,0.0005316231627515561,0.0005315890336544999,186.04745890492512,214.78814939009644,108.67157071351502,1.8318384502550326e-07,1578.34226136756,1578.3422615507438,509.5071791917204,ok
0.2,0.8,4580,916,0.2,0.0005316231627515561,0.0005315890336544999,192.10329245924996,58.53143340115146,174.77229671318133,1.8318384502550326e-07,1616.9472389117361,1616.94723909492,425.4070227567666,ok
0.16,1.2,4580,733,0.16004366812227075,0.0005316231627515561,0.0005315890336544999,177.3607430075098,123.55613546573237,106.90228197670152,1.8318384502550326e-07,1639.0963574078576,1639.0963575910414,407.81916063312747,ok
0.2,1.0,4580,916,0.2,0.0005316231627515561,0.0005315890336544999,187.76963261894264,130.6078205987209,174.85111898513918,1.8318384502550326e-07,1722.1003684140057,1722.1003685971896,493.2285723859865,ok
0.2,0.6,4580,916,0.2,0.0005316231627515561,0.0005315890336544999,192.73651854117924,151.68416671142367,175.6882467197525,1.8318384502550326e-07,1742.4680899056727,1742.4680900888566,520.1089321555392,ok
0.12,1.0,4580,550,0.12008733624454149,0.0005316231627515561,0.0005315890336544999,212.04049793612236,96.15468536990423,79.15099181214683,1.8318384502550326e-07,1777.9023767452422,1777.902376928426,387.3461753013572,ok
0.16,1.4,4580,733,0.16004366812227075,0.0005316231627515561,0.0005315890336544999,172.2722941994851,182.99974257918458,106.24169219904906,1.8318384502550326e-07,1803.4481316553145,1803.4481318384983,461.5137291609025,ok
0.12,0.8,4580,550,0.12008733624454149,0.0005316231627515561,0.0005315890336544999,215.7498558396193,148.06046356848213,79.56269048952862,1.8318384502550326e-07,1807.266779782901,1807.2667799660849,443.3730100808139,ok
0.12,1.2,4580,550,0.12008733624454149,0.0005316231627515561,0.0005315890336544999,207.98038351241556,98.26964749018325,78.49264704951113,1.8318384502550326e-07,1851.7854217822169,1851.7854219654007,384.74267823529374,ok
0.24,0.8,4580,1099,0.23995633187772925,0.0005316231627515561,0.0005315890336544999,158.59355579642465,67.39548565452806,272.27660046243403,1.8318384502550326e-07,1864.3190871597126,1864.3190873428964,498.26564209657056,ok
0.24,0.6,4580,1099,0.23995633187772925,0.0005316231627515561,0.0005315890336544999,157.36846510795849,136.7328295252249,273.0469777273527,1.8318384502550326e-07,1922.6802686296785,1922.6802688128623,567.1482725437199,ok
0.2,1.2,4580,916,0.2,0.0005316231627515561,0.0005315890336544999,184.94736926242285,242.3107143937455,174.63729534023804,1.8318384502550326e-07,1962.2713901574537,1962.2713903406375,601.8953791795902,ok
0.12,1.4,4580,550,0.12008733624454149,0.0005316231627515561,0.0005315890336544999,202.15512962632542,128.61236641671258,78.30151780486248,1.8318384502550326e-07,1989.7066675644492,1989.706667747633,409.06901403108435,ok
0.12,0.6,4580,550,0.12008733624454149,0.0005316231627515561,0.0005315890336544999,218.59668470553294,325.83951972112357,80.3951828349889,1.8318384502550326e-07,1989.9242966629315,1989.9242968461153,624.8313874448293,ok
0.24,1.0,4580,1099,0.23995633187772925,0.0005316231627515561,0.0005315890336544999,155.1981766756731,226.51852846635077,273.1784209863711,1.8318384502550326e-07,2100.5865050283387,2100.5865052115228,654.8951263115789,ok
0.2,1.4,4580,916,0.2,0.0005316231627515561,0.0005315890336544999,182.7047598288422,364.1575087656223,174.13552615989065,1.8318384502550326e-07,2212.3220885185506,2212.3220887017346,720.997794937539,ok
0.08,1.0,4580,366,0.07991266375545851,0.0005316231627515561,0.0005315890336544999,249.53468897121235,171.33146383982873,92.31333466142998,1.8318384502550326e-07,2280.166190726466,2280.16619090965,513.1794876556548,ok
0.08,1.2,4580,366,0.07991266375545851,0.0005316231627515561,0.0005315890336544999,245.56044923294377,144.9262292816863,91.58217775340242,1.8318384502550326e-07,2294.4752463349023,2294.4752465180864,482.06885645121633,ok
0.08,1.4,4580,366,0.07991266375545851,0.0005316231627515561,0.0005315890336544999,240.77488484927883,152.54906815973783,91.82458353868182,1.8318384502550326e-07,2373.65250262828,2373.6525028114643,485.14853673088237,ok
0.08,0.8,4580,366,0.07991266375545851,0.0005316231627515561,0.0005315890336544999,255.6127828819993,263.5861488471767,93.09249082709024,1.8318384502550326e-07,2402.887189188096,2402.88718937128,612.29142273945,ok
0.24,1.2,4580,1099,0.23995633187772925,0.0005316231627515561,0.0005315890336544999,152.597147156314,412.8603228939012,273.29625229302974,1.8318384502550326e-07,2424.773822912116,2424.7738230953,838.7537225264288,ok
0.08,0.6,4580,366,0.07991266375545851,0.0005316231627515561,0.0005315890336544999,258.88664360672675,447.2847627703312,93.85057290399774,1.8318384502550326e-07,2610.706742326428,2610.706742509612,800.0219794642396,ok
0.24,1.4,4580,1099,0.23995633187772925,0.0005316231627515561,0.0005315890336544999,150.8599804714542,617.9469975748608,272.85613576908355,1.8318384502550326e-07,2812.6058468200913,2812.6058470032754,1041.6631139985823,ok
