index,component,statistic,ell,r,model_value
0,wp,wp,-1,0.5761356451482574,258.31609859005727
1,wp,wp,-1,0.7440818690302262,200.68196717630286
2,wp,wp,-1,0.9610170497889371,149.8364675976526
3,wp,wp,-1,1.2415081573690936,113.19981244974161
4,wp,wp,-1,1.6037983331351233,88.52149503034282
5,wp,wp,-1,2.0714477629787083,82.95440744568072
6,wp,wp,-1,2.6753529170231105,67.16339607715334
7,wp,wp,-1,3.4552810127626836,53.19509897634412
8,wp,wp,-1,4.462678487403257,45.18785450613297
9,wp,wp,-1,5.763705166875068,34.16875734860194
10,wp,wp,-1,7.444209778763199,22.937787751751284
11,wp,wp,-1,9.614254566531134,16.552723701147023
12,wp,wp,-1,12.416991298325703,14.368677481981681
13,wp,wp,-1,16.03613754282894,8.357765309744282
14,wp,wp,-1,20.710355722655805,4.640280318355248
15,wp,wp,-1,26.747045170628947,0.5462472215882386
16,xi0,xi,0,5.12893551095799,2.4632503920092255
17,xi0,xi,0,7.0926598262423175,1.8999819088772014
18,xi0,xi,0,9.071987614253018,1.1669946622254568
19,xi0,xi,0,11.058870735916955,0.7583841554152063
20,xi0,xi,0,13.049734911079584,0.5205895160731636
21,xi0,xi,0,15.042904687805345,0.3940497390320752
22,xi0,xi,0,17.03780085357808,0.3098361097160087
23,xi0,xi,0,19.033667808465324,0.24452291762693937
24,xi0,xi,0,21.03037630419934,0.20185008993960868
25,xi0,xi,0,23.02766068469553,0.15072326008067155
26,xi0,xi,0,25.025364151653893,0.09442351290083256
27,xi0,xi,0,27.023466169403456,0.08094275215058513
28,xi0,xi,0,29.021712950323614,0.07892898881523404
29,xi0,xi,0,31.02022550732897,0.07567071799460856
30,xi0,xi,0,33.01895795649731,0.07620685138564266
31,xi0,xi,0,35.01782041255468,0.07059610076141362
32,xi0,xi,0,37.01678068081689,0.050371281858362676
33,xi0,xi,0,39.015897648740854,0.036847418029289924
34,xi0,xi,0,41.0150764997134,0.020613209915436626
35,xi0,xi,0,43.01435207730657,0.014056605352958218
36,xi0,xi,0,45.013717374563356,0.01582645158582831
37,xi0,xi,0,47.01306629374365,0.012457626428052641
38,xi0,xi,0,49.012464825600574,0.004076155109833364
39,xi0,xi,0,51.01196018043999,0.0037650319874005175
40,xi0,xi,0,53.01147261081704,-0.00373610112081522
41,xi0,xi,0,55.01102142125616,-0.014522519199865962
42,xi0,xi,0,57.010554451772435,-0.017462850830665573
43,xi0,xi,0,59.01018095383947,-0.013864004369365844
44,xi2,xi,2,5.12893551095799,-0.17504368972297782
45,xi2,xi,2,7.0926598262423175,-0.1163363511952794
46,xi2,xi,2,9.071987614253018,-0.24163735847548246
47,xi2,xi,2,11.058870735916955,-0.31673206681902466
48,xi2,xi,2,13.049734911079584,-0.20664254377869032
49,xi2,xi,2,15.042904687805345,-0.1338878284703851
50,xi2,xi,2,17.03780085357808,-0.09386943800447406
51,xi2,xi,2,19.033667808465324,-0.07885129161872109
52,xi2,xi,2,21.03037630419934,-0.11966790586940919
53,xi2,xi,2,23.02766068469553,-0.09120659821156746
54,xi2,xi,2,25.025364151653893,-0.09029076554503966
55,xi2,xi,2,27.023466169403456,-0.09278718999017606
56,xi2,xi,2,29.021712950323614,-0.0741898085246407
57,xi2,xi,2,31.02022550732897,-0.0917756832125575
58,xi2,xi,2,33.01895795649731,-0.11753220943617468
59,xi2,xi,2,35.01782041255468,-0.10418763933284002
60,xi2,xi,2,37.01678068081689,-0.1134405444142201
61,xi2,xi,2,39.015897648740854,-0.0883961532146607
62,xi2,xi,2,41.0150764997134,-0.07341375439692904
63,xi2,xi,2,43.01435207730657,-0.060487150805981424
64,xi2,xi,2,45.013717374563356,-0.061793463369256604
65,xi2,xi,2,47.01306629374365,-0.05276316623382483
66,xi2,xi,2,49.012464825600574,-0.0064635770762662
67,xi2,xi,2,51.01196018043999,0.011398354890595198
68,xi2,xi,2,53.01147261081704,-0.010976073726730295
69,xi2,xi,2,55.01102142125616,-0.03033445107398347
70,xi2,xi,2,57.010554451772435,-0.011056187509031864
71,xi2,xi,2,59.01018095383947,-0.013679258907604762
